,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,145.0,1.0,1.0,2025-09-07,NWE,,LVR,"L, 13-20",*,7,6,57,9.5,0,85.7,8.1,40,56.3,0,0.0,0,0.0
1,2.0,146.0,2.0,2.0,2025-09-14,NWE,@,MIA,"W, 33-27",*,5,4,32,8.0,0,80.0,6.4,31,51.7,0,0.0,0,0.0
2,3.0,147.0,3.0,3.0,2025-09-21,NWE,,PIT,"L, 14-21",*,3,3,23,7.7,0,100.0,7.7,39,52.7,0,0.0,0,0.0
3,,,,,,,,,1-2,,15,13,112,8.6,0,86.7,7.5,110,53.7,0,0.0,0,0.0
