,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,14.0,1.0,1.0,2016-09-11,MIN,@,TEN,"W, 25-16",*,9,7,103,14.7,0,77.8,11.4,1,-1,0,-1.0,0,0,0,,56,88.9,0,0.0,0,0.0
1,2.0,15.0,2.0,2.0,2016-09-18,MIN,,GNB,"W, 17-14",*,11,9,182,20.2,1,81.8,16.5,0,0,0,,0,0,0,,51,87.9,0,0.0,0,0.0
2,3.0,16.0,3.0,3.0,2016-09-25,MIN,@,CAR,"W, 22-10",*,7,4,40,10.0,0,57.1,5.7,0,0,0,,0,0,0,,49,89.1,0,0.0,0,0.0
3,4.0,17.0,4.0,4.0,2016-10-03,MIN,,NYG,"W, 24-10",*,7,5,47,9.4,0,71.4,6.7,1,-1,0,-1.0,0,0,0,,69,93.2,0,0.0,0,0.0
4,4.0,,5.0,5.0,2016-10-09,MIN,,HOU,"W, 31-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,18.0,6.0,7.0,2016-10-23,MIN,@,PHI,"L, 10-21",*,5,2,18,9.0,0,40.0,3.6,0,0,0,,0,0,0,,61,80.3,0,0.0,0,0.0
6,6.0,19.0,7.0,8.0,2016-10-31,MIN,@,CHI,"L, 10-20",*,13,8,76,9.5,1,61.5,5.8,0,0,0,,2,11,0,5.5,55,90.2,0,0.0,2,7.7
7,7.0,20.0,8.0,9.0,2016-11-06,MIN,,DET,"L, 16-22 (OT)",*,14,13,80,6.2,0,92.9,5.7,1,12,0,12.0,3,29,0,9.7,57,81.4,0,0.0,4,15.4
8,8.0,21.0,9.0,10.0,2016-11-13,MIN,@,WAS,"L, 20-26",*,15,13,164,12.6,0,86.7,10.9,0,0,0,,1,5,0,5.0,51,76.1,0,0.0,2,7.7
9,9.0,22.0,10.0,11.0,2016-11-20,MIN,,ARI,"W, 30-24",,7,6,37,6.2,0,85.7,5.3,0,0,0,,0,0,0,,43,74.1,0,0.0,0,0.0
10,9.0,,11.0,12.0,2016-11-24,MIN,@,DET,"L, 13-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,23.0,12.0,13.0,2016-12-01,MIN,,DAL,"L, 15-17",*,8,8,59,7.4,0,100.0,7.4,0,0,0,,0,0,0,,58,78.4,0,0.0,0,0.0
12,11.0,24.0,13.0,14.0,2016-12-11,MIN,@,JAX,"W, 25-16",*,5,3,55,18.3,0,60.0,11.0,0,0,0,,0,0,0,,38,57.6,0,0.0,0,0.0
13,12.0,25.0,14.0,15.0,2016-12-18,MIN,,IND,"L, 6-34",,5,2,13,6.5,0,40.0,2.6,0,0,0,,0,0,0,,49,84.5,0,0.0,0,0.0
14,13.0,26.0,15.0,16.0,2016-12-24,MIN,@,GNB,"L, 25-38",*,6,4,29,7.3,1,66.7,4.8,0,0,0,,0,0,0,,57,73.1,0,0.0,0,0.0
15,13.0,,16.0,17.0,2017-01-01,MIN,,CHI,"W, 38-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,6-7,,112,84,903,10.8,3,75.0,8.1,3,10,0,3.3,6,45,0,7.5,694,80.9,0,0.0,8,2.3
