,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2024,25,NYG,NFL,RB,17,12,192,839,5,39,44.3,45,4.4,49.4,11.3,53,38,284,7.5,1,13,47.2,19,2.2,16.7,71.7,5.4,230,4.9,1123,6,5,6,
1,1 Yr,1 Yr,1 Yr,1 Yr,,17,12,192,839,5,39,44.3,45,4.4,49.4,11.3,53,38,284,7.5,1,13,47.2,19,2.2,16.7,71.7,5.4,230,4.9,1123,6,5,6,
2,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,12,192,839,5,39,44.3,45,4.4,49.4,11.3,53,38,284,7.5,1,13,47.2,19,2.2,16.7,71.7,5.4,230,4.9,1123,6,5,6,
