,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2019-09-08,NYG,@,DAL,"L, 17-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2019-09-15,NYG,,BUF,"L, 14-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,1.0,3.0,3.0,2019-09-22,NYG,@,TAM,"W, 32-31",,5,3,82,27.3,0,60.0,16.4,0,0,0,,27,43.5,0,0.0,0,0.0
3,2.0,2.0,4.0,4.0,2019-09-29,NYG,,WAS,"W, 24-3",,2,2,13,6.5,0,100.0,6.5,0,0,0,,34,44.2,0,0.0,0,0.0
4,3.0,3.0,5.0,5.0,2019-10-06,NYG,,MIN,"L, 10-28",,5,4,62,15.5,1,80.0,12.4,0,0,0,,44,64.7,0,0.0,0,0.0
5,4.0,4.0,6.0,6.0,2019-10-10,NYG,@,NWE,"L, 14-35",*,8,3,32,10.7,0,37.5,4.0,0,0,0,,49,98.0,0,0.0,0,0.0
6,5.0,5.0,7.0,7.0,2019-10-20,NYG,,ARI,"L, 21-27",*,2,2,28,14.0,0,100.0,14.0,4,87,0,21.8,68,97.1,0,0.0,6,22.2
7,6.0,6.0,8.0,8.0,2019-10-27,NYG,@,DET,"L, 26-31",*,5,2,50,25.0,2,40.0,10.0,5,102,0,20.4,62,83.8,0,0.0,5,19.2
8,7.0,7.0,9.0,9.0,2019-11-04,NYG,,DAL,"L, 18-37",*,4,1,6,6.0,0,25.0,1.5,0,0,0,,66,93.0,0,0.0,1,3.2
9,8.0,8.0,10.0,10.0,2019-11-10,NYG,@,NYJ,"L, 27-34",*,15,10,121,12.1,2,66.7,8.1,0,0,0,,65,94.2,0,0.0,0,0.0
10,9.0,9.0,11.0,12.0,2019-11-24,NYG,@,CHI,"L, 14-19",*,7,4,67,16.8,0,57.1,9.6,0,0,0,,51,85.0,0,0.0,0,0.0
11,10.0,10.0,12.0,13.0,2019-12-01,NYG,,GNB,"L, 13-31",*,9,6,44,7.3,0,66.7,4.9,0,0,0,,62,93.9,0,0.0,0,0.0
12,11.0,11.0,13.0,14.0,2019-12-09,NYG,@,PHI,"L, 17-23 (OT)",,8,5,154,30.8,2,62.5,19.3,0,0,0,,42,80.8,0,0.0,0,0.0
13,12.0,12.0,14.0,15.0,2019-12-15,NYG,,MIA,"W, 36-20",*,3,2,31,15.5,1,66.7,10.3,0,0,0,,47,70.1,0,0.0,0,0.0
14,13.0,13.0,15.0,16.0,2019-12-22,NYG,@,WAS,"W, 41-35 (OT)",*,2,0,0,,0,0.0,0.0,0,0,0,,20,28.6,0,0.0,0,0.0
15,14.0,14.0,16.0,17.0,2019-12-29,NYG,,PHI,"L, 17-34",,9,4,50,12.5,0,44.4,5.6,0,0,0,,64,86.5,0,0.0,0,0.0
16,,,,,,,,,4-10,,84,48,740,15.4,8,57.1,8.8,9,189,0,21.0,701,75.4,0,0.0,12,3.0
