,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,NYG,@,TEN,"W, 21-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,44.0,2.0,2.0,2022-09-18,NYG,,CAR,"W, 19-16",,0,0,0,,0,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.5,0,0.0,0,0.0
2,2.0,45.0,3.0,3.0,2022-09-26,NYG,,DAL,"L, 16-23",,0,0,0,,0,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,19.4,0,0.0,0,0.0
3,3.0,46.0,4.0,4.0,2022-10-02,NYG,,CHI,"W, 20-12",,2,1,11,11.0,0,50.0,5.5,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,39,60.0,0,0.0,0,0.0
4,4.0,47.0,5.0,5.0,2022-10-09,NYG,@,GNB,"W, 27-22",,7,6,79,13.2,0,85.7,11.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,54.1,0,0.0,0,0.0
5,5.0,48.0,6.0,6.0,2022-10-16,NYG,,BAL,"W, 24-20",*,3,1,18,18.0,0,33.3,6.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,69.2,0,0.0,0,0.0
6,6.0,49.0,7.0,7.0,2022-10-23,NYG,@,JAX,"W, 23-17",*,6,3,58,19.3,1,50.0,9.7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,57.1,0,0.0,0,0.0
7,7.0,50.0,8.0,8.0,2022-10-30,NYG,@,SEA,"L, 13-27",*,6,5,66,13.2,0,83.3,11.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,73.8,0,0.0,0,0.0
8,8.0,51.0,9.0,10.0,2022-11-13,NYG,,HOU,"W, 24-16",*,4,3,95,31.7,1,75.0,23.8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,79.7,0,0.0,0,0.0
9,9.0,52.0,10.0,11.0,2022-11-20,NYG,,DET,"L, 18-31",*,10,5,86,17.2,0,50.0,8.6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,86.8,0,0.0,0,0.0
10,10.0,53.0,11.0,12.0,2022-11-24,NYG,@,DAL,"L, 20-28",*,6,3,63,21.0,0,50.0,10.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,84.4,0,0.0,0,0.0
11,11.0,54.0,12.0,13.0,2022-12-04,NYG,,WAS,"T, 20-20 (OT)",*,8,6,90,15.0,0,75.0,11.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,92.4,0,0.0,0,0.0
12,12.0,55.0,13.0,14.0,2022-12-11,NYG,,PHI,"L, 22-48",*,3,2,42,21.0,0,66.7,14.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,82.8,0,0.0,0,0.0
13,13.0,56.0,14.0,15.0,2022-12-18,NYG,@,WAS,"W, 20-12",*,7,5,23,4.6,0,71.4,3.3,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,59,93.7,0,0.0,0,0.0
14,14.0,57.0,15.0,16.0,2022-12-24,NYG,@,MIN,"L, 24-27",*,6,4,79,19.8,0,66.7,13.2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,98.6,0,0.0,0,0.0
15,15.0,58.0,16.0,17.0,2023-01-01,NYG,,IND,"W, 38-10",*,3,2,14,7.0,0,66.7,4.7,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,52,82.5,0,0.0,0,0.0
16,16.0,59.0,17.0,18.0,2023-01-08,NYG,@,PHI,"L, 16-22",,0,0,0,,0,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.8,0,0.0,0,0.0
17,,,,,,,,,8-7-1,,71,46,724,15.7,2,64.8,10.2,0,0,0,0.0,1,1,0,0,0,0,2,1,0,1,0,0,698,64.9,0,0.0,0,0.0
