,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2024-09-08,HOU,@,IND,"W, 29-27",*,0.0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,36,80.0,2,8.0
1,2.0,17.0,2.0,2.0,2024-09-15,HOU,,CHI,"W, 19-13",*,1.5,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,71.4,0,0.0
2,3.0,18.0,3.0,3.0,2024-09-22,HOU,@,MIN,"L, 7-34",*,1.0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48,76.2,1,3.8
3,4.0,19.0,4.0,4.0,2024-09-29,HOU,,JAX,"W, 24-20",*,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,45,77.6,3,10.3
4,5.0,20.0,5.0,5.0,2024-10-06,HOU,,BUF,"W, 23-20",*,0.0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,45,73.8,4,12.9
5,6.0,21.0,6.0,6.0,2024-10-13,HOU,@,NWE,"W, 41-21",*,3.0,8,6,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0.0,33,50.0,1,3.0
6,7.0,22.0,7.0,7.0,2024-10-20,HOU,@,GNB,"L, 22-24",*,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42,72.4,1,3.4
7,8.0,23.0,8.0,8.0,2024-10-27,HOU,,IND,"W, 23-20",*,1.0,7,5,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,50,78.1,2,6.1
8,9.0,24.0,9.0,9.0,2024-10-31,HOU,@,NYJ,"L, 13-21",*,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8,13.8,0,0.0
9,9.0,,10.0,10.0,2024-11-10,HOU,,DET,"L, 23-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9.0,,11.0,11.0,2024-11-18,HOU,@,DAL,"W, 34-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,25.0,12.0,12.0,2024-11-24,HOU,,TEN,"L, 27-32",*,2.0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,34,50.7,0,0.0
12,11.0,26.0,13.0,13.0,2024-12-01,HOU,@,JAX,"W, 23-20",*,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44,62.9,0,0.0
13,12.0,27.0,14.0,15.0,2024-12-15,HOU,,MIA,"W, 20-12",*,1.0,3,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.0,47,69.1,0,0.0
14,13.0,28.0,15.0,16.0,2024-12-21,HOU,@,KAN,"L, 19-27",*,0.0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,49,66.2,0,0.0
15,14.0,29.0,16.0,17.0,2024-12-25,HOU,,BAL,"L, 2-31",*,0.5,3,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,30,47.6,0,0.0
16,14.0,,17.0,18.0,2025-01-05,HOU,@,TEN,"W, 23-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,8-6,,11.0,37,27,10,16,19,0,0,0,0,2,0,0,1,1,0,0,0,0.0,561,63.4,14,3.5
