,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2023,22,HOU,NFL,DE,15,13,0,0,0,0,1,0,0,0,0,0,7.0,45,29,16,10,22,0,10.0,"PB,AP DRoY-1"
1,2024,23,HOU,NFL,LDE,14,14,0,0,0,0,2,1,0,1,0,0,11.0,37,27,10,16,19,0,8.0,AP DPoY-14
2,2025,24,HOU,NFL,DE,3,3,0,0,0,0,0,0,0,0,0,0,3.0,12,10,2,5,5,0,,
3,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,32,30,0,0,0,0,3,1,0,1,0,0,21.0,94,66,28,31,46,0,18.0,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,0,0,0,0,2,1,0,1,0,0,11.2,50,35,15,16,24,0,,
