,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,94.0,1.0,1.0,2022-09-08,LAR,,BUF,"L, 10-31",*,11,5,39,7.8,0,45.5,3.5,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,63,94.0,0,0.0,0,0.0
1,2.0,95.0,2.0,2.0,2022-09-18,LAR,,ATL,"W, 31-27",*,9,7,71,10.1,0,77.8,7.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,96.8,0,0.0,2,8.7
2,3.0,96.0,3.0,3.0,2022-09-25,LAR,@,ARI,"W, 20-12",*,4,4,61,15.3,0,100.0,15.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,93.8,0,0.0,1,4.0
3,4.0,97.0,4.0,4.0,2022-10-03,LAR,@,SFO,"L, 9-24",*,14,10,73,7.3,0,71.4,5.2,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,93.2,0,0.0,3,12.0
4,5.0,98.0,5.0,5.0,2022-10-09,LAR,,DAL,"L, 10-22",*,10,7,46,6.6,0,70.0,4.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,96.9,0,0.0,3,10.0
5,6.0,99.0,6.0,6.0,2022-10-16,LAR,,CAR,"W, 24-10",*,2,1,7,7.0,0,50.0,3.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,78.5,0,0.0,0,0.0
6,7.0,100.0,7.0,8.0,2022-10-30,LAR,,SFO,"L, 14-31",*,6,2,15,7.5,0,33.3,2.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,69.0,0,0.0,0,0.0
7,8.0,101.0,8.0,9.0,2022-11-06,LAR,@,TAM,"L, 13-16",*,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,78.9,0,0.0,0,0.0
8,9.0,102.0,9.0,10.0,2022-11-13,LAR,,ARI,"L, 17-27",*,8,8,73,9.1,0,100.0,9.1,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,80.0,0,0.0,3,10.7
9,10.0,103.0,10.0,11.0,2022-11-20,LAR,@,NOR,"L, 20-27",*,8,4,45,11.3,0,50.0,5.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,92.2,0,0.0,0,0.0
10,11.0,104.0,11.0,12.0,2022-11-27,LAR,@,KAN,"L, 10-26",*,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,59.3,0,0.0,1,4.2
11,12.0,105.0,12.0,13.0,2022-12-04,LAR,,SEA,"L, 23-27",*,5,2,14,7.0,0,40.0,2.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,54,84.4,0,0.0,0,0.0
12,13.0,106.0,13.0,14.0,2022-12-08,LAR,,LVR,"W, 17-16",*,3,2,11,5.5,0,66.7,3.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,95.3,0,0.0,0,0.0
13,14.0,107.0,14.0,15.0,2022-12-19,LAR,@,GNB,"L, 12-24",*,5,4,27,6.8,1,80.0,5.4,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,40,88.9,0,0.0,0,0.0
14,15.0,108.0,15.0,16.0,2022-12-25,LAR,,DEN,"W, 51-14",*,11,9,94,10.4,2,81.8,8.5,1,7,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,90.8,0,0.0,1,3.8
15,16.0,109.0,16.0,17.0,2023-01-01,LAR,@,LAC,"L, 10-31",*,4,3,11,3.7,0,75.0,2.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,89.8,0,0.0,0,0.0
16,17.0,110.0,17.0,18.0,2023-01-08,LAR,@,SEA,"L, 16-19 (OT)",*,7,4,33,8.3,0,57.1,4.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,88.5,0,0.0,0,0.0
17,,,,,,,,,5-12,,108,72,620,8.6,3,66.7,5.7,1,7,0,7.0,0.0,2,2,0,0,0,0,0,0,0,1,0,0,888,86.8,0,0.0,14,3.1
