,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,24,SFO,NFL,TE,15,7,63,43,515,12.0,2,24,47.6,44,2.9,34.3,68.3,8.2,0,0,0,0,,,,0.0,0.0,43,12.0,515,2,0,4.0,
1,2018,25,SFO,NFL,TE,16,16,136,88,1377,15.6,5,60,56.6,85,5.5,86.1,64.7,10.1,1,10,0,1,100.0,10.0,10.0,0.6,0.1,89,15.6,1387,5,0,10.0,"PB,AP-2"
2,2019,26,SFO,NFL,TE,14,14,107,85,1053,12.4,5,53,61.7,61,6.1,75.2,79.4,9.8,5,22,0,1,40.0,18.0,4.4,1.6,0.4,90,11.9,1075,5,1,11.0,"PB,AP-1"
3,2020,27,SFO,NFL,TE,8,8,63,48,634,13.2,2,32,65.1,44,6.0,79.3,76.2,10.1,2,17,0,1,100.0,9.0,8.5,2.1,0.3,50,13.0,651,2,0,5.0,
4,2021,28,SFO,NFL,TE,14,14,94,71,910,12.8,6,42,60.6,48,5.1,65.0,75.5,9.7,3,20,0,0,100.0,9.0,6.7,1.4,0.2,74,12.6,930,6,2,8.0,PB
5,2022,29,SFO,NFL,TE,15,15,86,60,765,12.8,11,36,58.1,54,4.0,51.0,69.8,8.9,0,0,0,0,,,,0.0,0.0,60,12.8,765,11,1,8.0,"PB,AP-2"
6,2023,30,SFO,NFL,TE,16,16,90,65,1020,15.7,6,42,60.0,66,4.1,63.8,72.2,11.3,1,2,0,1,100.0,2.0,2.0,0.1,0.1,66,15.5,1022,6,0,11.0,"PB,AP-1"
7,2024,31,SFO,NFL,TE,15,15,94,78,1106,14.2,8,50,73.4,43,5.2,73.7,83.0,11.8,0,0,0,0,,,,0.0,0.0,78,14.2,1106,8,0,9.0,"PB,AP-2,AP OPoY-11"
8,2025,32,SFO,NFL,TE,1,1,4,4,25,6.3,1,3,75.0,11,4.0,25.0,100.0,6.3,0,0,0,0,,,,0.0,0.0,4,6.3,25,1,0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,114,106,737,542,7405,13.7,46,342,60.7,85,4.8,65.0,73.5,10.0,12,71,0,4,75.0,18.0,5.9,0.6,0.1,554,13.5,7476,46,4,66.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,110,81,1104,13.7,7,51,60.7,85,4.8,65.0,73.5,10.0,2,11,0,1,75.0,18.0,5.9,0.6,0.1,83,13.5,1115,7,1,,
