,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,SFO,@,CHI,"L, 10-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2022-09-18,SFO,,SEA,"W, 27-7",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,68.0,3.0,3.0,2022-09-25,SFO,@,DEN,"L, 10-11",*,5,4,28,7.0,0,80.0,5.6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,91.1,0,0.0,0,0.0
3,2.0,69.0,4.0,4.0,2022-10-03,SFO,,LAR,"W, 24-9",*,4,2,24,12.0,0,50.0,6.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,94.0,0,0.0,0,0.0
4,3.0,70.0,5.0,5.0,2022-10-09,SFO,@,CAR,"W, 37-15",*,6,5,47,9.4,0,83.3,7.8,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,59,88.1,0,0.0,1,3.6
5,4.0,71.0,6.0,6.0,2022-10-16,SFO,@,ATL,"L, 14-28",*,10,8,83,10.4,0,80.0,8.3,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,59,98.3,0,0.0,0,0.0
6,5.0,72.0,7.0,7.0,2022-10-23,SFO,,KAN,"L, 23-44",*,9,6,98,16.3,1,66.7,10.9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,88.6,0,0.0,0,0.0
7,6.0,73.0,8.0,8.0,2022-10-30,SFO,@,LAR,"W, 31-14",*,5,3,39,13.0,1,60.0,7.8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
8,7.0,74.0,9.0,10.0,2022-11-13,SFO,,LAC,"W, 22-16",*,2,1,21,21.0,0,50.0,10.5,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
9,8.0,75.0,10.0,11.0,2022-11-21,SFO,@,ARI,"W, 38-10",*,6,4,84,21.0,2,66.7,14.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,74.1,0,0.0,0,0.0
10,9.0,76.0,11.0,12.0,2022-11-27,SFO,,NOR,"W, 13-0",*,4,3,26,8.7,0,75.0,6.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,97.1,0,0.0,0,0.0
11,10.0,77.0,12.0,13.0,2022-12-04,SFO,,MIA,"W, 33-17",*,3,2,22,11.0,0,66.7,7.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,81,96.4,0,0.0,0,0.0
12,11.0,78.0,13.0,14.0,2022-12-11,SFO,,TAM,"W, 35-7",*,5,4,28,7.0,0,80.0,5.6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,79.4,0,0.0,0,0.0
13,12.0,79.0,14.0,15.0,2022-12-15,SFO,@,SEA,"W, 21-13",*,5,4,93,23.3,2,80.0,18.6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,84.4,0,0.0,1,3.6
14,13.0,80.0,15.0,16.0,2022-12-24,SFO,,WAS,"W, 37-20",*,8,6,120,20.0,2,75.0,15.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,90.4,0,0.0,1,3.7
15,14.0,81.0,16.0,17.0,2023-01-01,SFO,@,LVR,"W, 37-34 (OT)",*,8,4,23,5.8,1,50.0,2.9,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,62,92.5,0,0.0,0,0.0
16,15.0,82.0,17.0,18.0,2023-01-08,SFO,,ARI,"W, 38-13",*,6,4,29,7.3,2,66.7,4.8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,71.0,0,0.0,0,0.0
17,,,,,,,,,12-3,,86,60,765,12.8,11,69.8,8.9,0,0,0,0.0,2,2,0,0,0,0,1,1,1,0,0,0,859,89.9,0,0.0,3,0.8
