,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2013,23,NYJ,NFL,QB,16.0,16.0,8-8-0,247.0,443.0,55.8,3046.0,12.0,2.7,21.0,4.7,148.0,39.5,69.0,6.9,5.28,12.3,190.4,66.5,41.0,43.0,315.0,8.85,5.62,4.17,2.0,5.0,7.0,
1,2014,24,NYJ,NFL,QB,14.0,13.0,3-10-0,219.0,367.0,59.7,2525.0,13.0,3.5,13.0,3.5,119.0,41.8,74.0,6.9,5.99,11.5,180.4,77.5,45.8,28.0,175.0,7.09,5.95,5.13,1.0,2.0,7.0,
2,2015,25,NYJ,NFL,QB,1.0,0.0,,27.0,42.0,64.3,265.0,2.0,4.8,1.0,2.4,14.0,53.3,28.0,6.3,6.19,9.8,265.0,87.9,56.9,3.0,19.0,6.67,5.47,5.36,0.0,0.0,1.0,
3,2016,26,NYJ,NFL,QB,2.0,1.0,1-0-0,8.0,14.0,57.1,126.0,1.0,7.1,1.0,7.1,3.0,41.2,69.0,9.0,7.21,15.8,63.0,81.2,26.2,3.0,19.0,17.65,6.29,4.82,0.0,0.0,0.0,
4,2017,27,NYG,NFL,QB,2.0,1.0,0-1-0,21.0,36.0,58.3,212.0,1.0,2.8,0.0,0.0,8.0,38.5,47.0,5.9,6.44,10.1,106.0,84.5,39.8,3.0,12.0,7.69,5.13,5.64,0.0,0.0,1.0,
5,2018,28,LAC,NFL,QB,5.0,0.0,,1.0,4.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,,8.0,2.0,2.0,8.0,1.6,39.6,0.7,1.0,16.0,20.0,-1.6,-1.6,0.0,0.0,0.0,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020,30,SEA,NFL,QB,1.0,0.0,,4.0,5.0,80.0,33.0,0.0,0.0,0.0,0.0,3.0,50.0,14.0,6.6,6.6,8.3,33.0,94.2,3.9,1.0,3.0,16.67,5.0,5.0,0.0,0.0,0.0,
8,2021,31,SEA,NFL,QB,4.0,3.0,1-2-0,65.0,95.0,68.4,702.0,5.0,5.3,1.0,1.1,31.0,44.4,84.0,7.4,7.97,10.8,175.5,103.0,51.8,13.0,117.0,12.04,5.42,5.93,0.0,0.0,2.0,
9,2022,32,SEA,NFL,QB,17.0,17.0,9-8-0,399.0,572.0,69.8,4282.0,30.0,5.2,11.0,1.9,206.0,48.2,54.0,7.5,7.67,10.7,251.9,100.9,62.8,46.0,348.0,7.44,6.37,6.54,2.0,3.0,15.0,"PB,AP MVP-9,AP CPoY-1"
10,2023,33,SEA,NFL,QB,15.0,15.0,8-7-0,323.0,499.0,64.7,3624.0,20.0,4.0,9.0,1.8,169.0,47.2,73.0,7.3,7.25,11.2,241.6,92.1,59.5,31.0,231.0,5.85,6.4,6.39,4.0,5.0,12.0,PB
11,2024,34,SEA,NFL,QB,17.0,17.0,10-7-0,407.0,578.0,70.4,4320.0,21.0,3.6,15.0,2.6,209.0,48.4,71.0,7.5,7.03,10.6,254.1,93.2,53.8,50.0,338.0,7.96,6.34,5.93,4.0,4.0,12.0,
12,11 Yrs,11 Yrs,11 Yrs,11 Yrs,,94.0,83.0,40-43-0,1721.0,2655.0,64.8,19143.0,105.0,4.0,72.0,2.7,910.0,45.4,84.0,7.2,6.78,11.1,203.6,88.0,,222.0,1593.0,7.72,6.1,5.7,13.0,19.0,57.0,
13,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,40-43-0,311.0,480.0,64.8,3462.0,19.0,4.0,13.0,2.7,165.0,45.4,84.0,7.2,6.78,11.1,203.6,88.0,,40.0,288.0,7.72,6.1,5.7,2.0,3.0,10.0,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SEA (5 Yrs),SEA (5 Yrs),SEA (5 Yrs),SEA (5 Yrs),,54.0,52.0,28-24-0,1198.0,1749.0,68.5,12961.0,76.0,4.3,36.0,2.1,618.0,47.8,84.0,7.4,7.35,10.8,240.0,95.9,,141.0,1037.0,7.46,6.31,6.26,10.0,12.0,41.0,
16,NYJ (4 Yrs),NYJ (4 Yrs),NYJ (4 Yrs),NYJ (4 Yrs),,33.0,30.0,12-18-0,501.0,866.0,57.9,5962.0,28.0,3.2,36.0,4.2,284.0,41.1,74.0,6.9,5.66,11.9,180.7,72.4,,77.0,528.0,8.17,5.76,4.64,3.0,7.0,15.0,
17,LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,5.0,0.0,,1.0,4.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,,8.0,2.0,2.0,8.0,1.6,39.6,,1.0,16.0,20.0,-1.6,-1.6,0.0,0.0,0.0,
18,NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),,2.0,1.0,0-1-0,21.0,36.0,58.3,212.0,1.0,2.8,0.0,0.0,8.0,38.5,47.0,5.9,6.44,10.1,106.0,84.5,,3.0,12.0,7.69,5.13,5.64,0.0,0.0,1.0,
