,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,92.0,1.0,1.0,2022-09-11,MIA,,NWE,"W, 20-7",*,12,8,94,11.8,0,66.7,7.8,1,6,0,6.0,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,40,66.7,0,0.0,0,0.0
1,2.0,93.0,2.0,2.0,2022-09-18,MIA,@,BAL,"W, 42-38",*,13,11,190,17.3,2,84.6,14.6,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,54,76.1,0,0.0,0,0.0
2,3.0,94.0,3.0,3.0,2022-09-25,MIA,,BUF,"W, 21-19",*,4,2,33,16.5,0,50.0,8.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,86.0,0,0.0,0,0.0
3,4.0,95.0,4.0,4.0,2022-09-29,MIA,@,CIN,"L, 15-27",*,14,10,160,16.0,0,71.4,11.4,1,-1,0,-1.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,60,93.8,0,0.0,2,7.1
4,5.0,96.0,5.0,5.0,2022-10-09,MIA,@,NYJ,"L, 17-40",*,7,7,47,6.7,0,100.0,6.7,2,13,0,6.5,1,-2,0,-2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,64.2,0,0.0,1,3.4
5,6.0,97.0,6.0,6.0,2022-10-16,MIA,,MIN,"L, 16-24",*,15,12,177,14.8,0,80.0,11.8,0,0,0,,1,-2,0,-2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,76.9,0,0.0,3,9.7
6,7.0,98.0,7.0,7.0,2022-10-23,MIA,,PIT,"W, 16-10",*,13,7,72,10.3,0,53.8,5.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,88.7,0,0.0,0,0.0
7,8.0,99.0,8.0,8.0,2022-10-30,MIA,@,DET,"W, 31-27",*,14,12,188,15.7,0,85.7,13.4,1,7,0,7.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0
8,9.0,100.0,9.0,9.0,2022-11-06,MIA,@,CHI,"W, 35-32",*,8,7,143,20.4,1,87.5,17.9,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,78.9,0,0.0,0,0.0
9,10.0,101.0,10.0,10.0,2022-11-13,MIA,,CLE,"W, 39-17",*,6,5,44,8.8,1,83.3,7.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,71.0,0,0.0,0,0.0
10,11.0,102.0,11.0,12.0,2022-11-27,MIA,,HOU,"W, 30-15",*,9,6,85,14.2,0,66.7,9.4,1,5,0,5.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,59.2,0,0.0,0,0.0
11,12.0,103.0,12.0,13.0,2022-12-04,MIA,@,SFO,"L, 17-33",*,14,9,146,16.2,1,64.3,10.4,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,39,84.8,0,0.0,0,0.0
12,13.0,104.0,13.0,14.0,2022-12-11,MIA,@,LAC,"L, 17-23",*,10,4,81,20.3,1,40.0,8.1,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,57,1,34,66.7,0,0.0,0,0.0
13,14.0,105.0,14.0,15.0,2022-12-17,MIA,@,BUF,"L, 29-32",*,13,9,69,7.7,1,69.2,5.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,83.1,0,0.0,0,0.0
14,15.0,106.0,15.0,16.0,2022-12-25,MIA,,GNB,"L, 20-26",*,6,4,103,25.8,0,66.7,17.2,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,80.0,0,0.0,0,0.0
15,16.0,107.0,16.0,17.0,2023-01-01,MIA,@,NWE,"L, 21-23",*,7,4,55,13.8,0,57.1,7.9,1,2,1,2.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,58,81.7,0,0.0,0,0.0
16,17.0,108.0,17.0,18.0,2023-01-08,MIA,,NYJ,"W, 11-6",*,5,2,23,11.5,0,40.0,4.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,66.2,0,0.0,1,4.5
17,,,,,,,,,9-8,,170,119,1710,14.4,7,70.0,10.1,7,32,1,4.6,2,-4,0,-2.0,0.0,4,4,0,0,0,0,1,0,0,1,57,1,800,75.7,0,0.0,7,1.5
