,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2016-09-11,KAN,,SDG,"W, 33-27 (OT)",,1,1,9,9.0,1,100.0,9.0,0,0,0,,0,0,0,,3,35,0,11.7,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,10,14.1,0,0.0,10,29.4
1,2.0,2.0,2.0,2.0,2016-09-18,KAN,@,HOU,"L, 12-19",,2,2,8,4.0,0,100.0,4.0,1,-1,0,-1.0,3,83,0,27.7,4,63,0,15.8,0.0,2,1,1,0,0.0,0,0,0,0,0,0,0,7,10.9,0,0.0,15,46.9
2,3.0,3.0,3.0,3.0,2016-09-25,KAN,,NYJ,"W, 24-3",,4,3,26,8.7,0,75.0,6.5,1,-3,0,-3.0,2,21,0,10.5,2,29,0,14.5,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,12,19.0,0,0.0,8,44.4
3,4.0,4.0,4.0,4.0,2016-10-02,KAN,@,PIT,"L, 14-43",,7,5,24,4.8,1,71.4,3.4,1,-2,0,-2.0,2,54,0,27.0,2,20,0,10.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,18,24.0,0,0.0,15,51.7
4,5.0,5.0,5.0,6.0,2016-10-16,KAN,@,OAK,"W, 26-10",,2,2,20,10.0,0,100.0,10.0,0,0,0,,1,30,0,30.0,1,50,0,50.0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,18,28.1,0,0.0,8,34.8
5,6.0,6.0,6.0,7.0,2016-10-23,KAN,,NOR,"W, 27-21",,1,1,38,38.0,1,100.0,38.0,2,23,0,11.5,0,0,0,,1,0,0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,18,34.6,0,0.0,12,46.2
6,7.0,7.0,7.0,8.0,2016-10-30,KAN,@,IND,"W, 30-14",,6,5,98,19.6,1,83.3,16.3,1,7,0,7.0,1,21,0,21.0,3,57,0,19.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,21,28.4,0,0.0,13,40.6
7,8.0,8.0,8.0,9.0,2016-11-06,KAN,,JAX,"W, 19-14",,5,3,11,3.7,0,60.0,2.2,2,21,0,10.5,1,26,0,26.0,2,46,0,23.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,34,58.6,0,0.0,8,28.6
8,9.0,9.0,9.0,10.0,2016-11-13,KAN,@,CAR,"W, 20-17",,13,10,89,8.9,0,76.9,6.8,1,12,0,12.0,0,0,0,,3,27,0,9.0,0.0,0,0,0,0,0.0,0,2,0,0,1,0,0,39,60.9,0,0.0,5,19.2
9,10.0,10.0,10.0,11.0,2016-11-20,KAN,,TAM,"L, 17-19",,5,4,53,13.3,0,80.0,10.6,1,8,0,8.0,1,21,0,21.0,1,20,0,20.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,36,67.9,0,0.0,4,17.4
10,11.0,11.0,11.0,12.0,2016-11-27,KAN,@,DEN,"W, 30-27 (OT)",,10,9,52,5.8,1,90.0,5.2,1,3,1,3.0,1,86,1,86.0,2,28,0,14.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,57,67.1,0,0.0,9,22.0
11,12.0,12.0,12.0,13.0,2016-12-04,KAN,@,ATL,"W, 29-28",*,6,5,53,10.6,0,83.3,8.8,2,19,0,9.5,0,0,0,,1,-1,0,-1.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,25,51.0,0,0.0,1,4.2
12,13.0,13.0,13.0,14.0,2016-12-08,KAN,,OAK,"W, 21-13",,6,6,66,11.0,1,100.0,11.0,1,2,0,2.0,1,25,0,25.0,6,99,1,16.5,0.0,1,1,0,0,0.0,0,1,1,0,0,0,0,25,45.5,0,0.0,10,34.5
13,14.0,14.0,14.0,15.0,2016-12-18,KAN,,TEN,"L, 17-19",,3,0,0,,0,0.0,0.0,1,68,1,68.0,0,0,0,,3,3,0,1.0,0.0,0,0,0,0,0.0,0,1,0,0,1,0,0,30,51.7,0,0.0,5,20.8
14,15.0,15.0,15.0,16.0,2016-12-25,KAN,,DEN,"W, 33-10",,5,0,0,,0,0.0,0.0,6,95,1,15.8,1,17,0,17.0,4,21,0,5.3,0.0,0,0,0,0,,0,0,0,0,0,0,0,28,36.8,0,0.0,8,25.8
15,16.0,16.0,16.0,17.0,2017-01-01,KAN,@,SDG,"W, 37-27",,7,5,46,9.2,0,71.4,6.6,3,15,0,5.0,0,0,0,,1,95,1,95.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,38,62.3,0,0.0,3,10.7
16,,,,,,,,,12-4,,83,61,593,9.7,6,73.5,7.1,24,267,3,11.1,14,384,1,27.4,39,592,2,15.2,0.0,6,4,2,0,0.0,0,4,1,0,2,0,0,416,40.7,0,0.0,134,29.9
