,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2024-09-08,PIT,@,ATL,"W, 18-10",,2,1,7,7.0,0,50.0,3.5,4,47,0,11.8,0,0,0,0,0,0,28,41.2,0,0.0,4,16.0
1,2.0,19.0,2.0,2.0,2024-09-15,PIT,@,DEN,"W, 13-6",,2,1,6,6.0,0,50.0,3.0,5,27,0,5.4,0,0,0,0,0,0,30,45.5,0,0.0,6,24.0
2,3.0,20.0,3.0,3.0,2024-09-22,PIT,,LAC,"W, 20-10",,5,4,95,23.8,1,80.0,19.0,2,20,0,10.0,0,0,0,0,0,0,37,54.4,0,0.0,8,30.8
3,4.0,21.0,4.0,4.0,2024-09-29,PIT,@,IND,"L, 24-27",,1,1,17,17.0,0,100.0,17.0,1,30,0,30.0,0,0,0,0,0,0,39,55.7,0,0.0,4,14.8
4,5.0,22.0,5.0,5.0,2024-10-06,PIT,,DAL,"L, 17-20",*,2,1,6,6.0,0,50.0,3.0,0,0,0,,0,0,0,0,0,0,44,75.9,0,0.0,1,4.2
5,6.0,23.0,6.0,6.0,2024-10-13,PIT,@,LVR,"W, 32-13",,5,2,36,18.0,0,40.0,7.2,0,0,0,,0,0,0,0,0,0,24,35.8,0,0.0,5,20.0
6,7.0,24.0,7.0,7.0,2024-10-20,PIT,,NYJ,"W, 37-15",,4,1,36,36.0,0,25.0,9.0,2,9,0,4.5,0,0,0,0,0,0,34,50.0,0,0.0,4,13.8
7,8.0,25.0,8.0,8.0,2024-10-28,PIT,,NYG,"W, 26-18",*,4,3,54,18.0,1,75.0,13.5,2,73,1,36.5,0,0,0,0,0,0,38,57.6,0,0.0,4,13.3
8,9.0,26.0,9.0,10.0,2024-11-10,PIT,@,WAS,"W, 28-27",*,6,2,20,10.0,0,33.3,3.3,3,20,0,6.7,0,0,0,0,0,0,35,44.9,0,0.0,6,18.8
9,10.0,27.0,10.0,11.0,2024-11-17,PIT,,BAL,"W, 18-16",,2,1,-1,-1.0,0,50.0,-0.5,2,13,0,6.5,0,0,0,0,0,0,26,33.3,0,0.0,4,13.8
10,11.0,28.0,11.0,12.0,2024-11-21,PIT,@,CLE,"L, 19-24",,3,3,78,26.0,1,100.0,26.0,0,0,0,,0,0,0,0,0,0,40,58.0,0,0.0,3,15.0
11,12.0,29.0,12.0,13.0,2024-12-01,PIT,@,CIN,"W, 44-38",*,2,2,29,14.5,1,100.0,14.5,0,0,0,,0,0,0,0,0,0,16,23.2,0,0.0,2,6.1
12,13.0,30.0,13.0,14.0,2024-12-08,PIT,,CLE,"W, 27-14",*,4,1,4,4.0,0,25.0,1.0,2,20,0,10.0,0,0,0,0,0,0,23,35.4,0,0.0,5,17.2
13,14.0,31.0,14.0,15.0,2024-12-15,PIT,@,PHI,"L, 13-27",*,5,5,65,13.0,0,100.0,13.0,0,0,0,,0,0,0,0,0,0,35,81.4,0,0.0,1,4.0
14,15.0,32.0,15.0,16.0,2024-12-21,PIT,@,BAL,"L, 17-34",,5,4,65,16.3,0,80.0,13.0,0,0,0,,0,0,0,0,0,0,48,80.0,0,0.0,3,11.1
15,16.0,33.0,16.0,17.0,2024-12-25,PIT,,KAN,"L, 10-29",*,5,4,31,7.8,0,80.0,6.2,2,14,0,7.0,0,0,0,0,0,0,56,74.7,0,0.0,5,20.0
16,17.0,34.0,17.0,18.0,2025-01-04,PIT,,CIN,"L, 17-19",*,1,0,0,,0,0.0,0.0,3,16,0,5.3,1,1,0,0,0,0,40,65.6,0,0.0,3,11.5
17,,,,,,,,,10-7,,58,36,548,15.2,4,62.1,9.4,28,289,1,10.3,1,1,0,0,0,0,593,52.5,0,0.0,68,14.9
