,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2021,22,DAL,NFL,LLB,16.0,16.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0,84.0,64.0,20.0,20.0,30.0,0.0,18.0,"PB,AP-1,AP DPoY-2,AP DRoY-1"
1,2022,23,DAL,NFL,LLB,17.0,17.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,36.0,1.0,13.5,65.0,42.0,23.0,13.0,26.0,0.0,19.0,"PB,AP-1,AP MVP-8,AP DPoY-2"
2,2023,24,DAL,NFL,LB,17.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,14.0,64.0,36.0,28.0,18.0,33.0,0.0,15.0,"PB,AP-2,AP DPoY-3"
3,2024,25,DAL,NFL,LLB,13.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,43.0,30.0,13.0,12.0,23.0,0.0,8.0,"PB,AP DPoY-17"
4,2025,26,GNB,NFL,DL,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,3.0,2.0,1.0,6.0,0.0,,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,66.0,65.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,4.0,36.0,1.0,54.0,261.0,175.0,86.0,64.0,118.0,0.0,60.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,9.0,0.0,13.9,67.0,45.0,22.0,16.0,30.0,0.0,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),DAL (4 Yrs),,63.0,63.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,4.0,36.0,1.0,52.5,256.0,172.0,84.0,63.0,112.0,0.0,60.0,
9,GNB (1 Yr),GNB (1 Yr),GNB (1 Yr),GNB (1 Yr),,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,3.0,2.0,1.0,6.0,0.0,,
