,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2016-09-11,HOU,,CHI,"W, 23-14",*,11,5,107,21.4,1,45.5,9.7,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,54,72.0,0,0.0,3,10.7
1,2.0,2.0,2.0,2.0,2016-09-18,HOU,,KAN,"W, 19-12",*,7,4,104,26.0,0,57.1,14.9,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,65,90.3,0,0.0,2,6.3
2,3.0,3.0,3.0,3.0,2016-09-22,HOU,@,NWE,"L, 0-27",*,7,3,31,10.3,0,42.9,4.4,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2016-10-02,HOU,,TEN,"W, 27-20",*,9,7,81,11.6,1,77.8,9.0,0,0,0,,0,0,0,,1,67,1,67.0,0,0,0,0,0,0,56,87.5,0,0.0,1,3.4
4,5.0,5.0,5.0,5.0,2016-10-09,HOU,@,MIN,"L, 13-31",*,6,1,4,4.0,0,16.7,0.7,0,0,0,,0,0,0,,1,14,0,14.0,0,0,0,0,0,0,64,100.0,0,0.0,3,10.3
5,5.0,,6.0,6.0,2016-10-16,HOU,,IND,"W, 26-23 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,6.0,6.0,7.0,7.0,2016-10-24,HOU,@,DEN,"L, 9-27",*,7,4,22,5.5,0,57.1,3.1,0,0,0,,1,19,0,19.0,0,0,0,,0,0,0,0,0,0,66,94.3,0,0.0,4,13.3
7,7.0,7.0,8.0,8.0,2016-10-30,HOU,,DET,"W, 20-13",*,4,1,23,23.0,0,25.0,5.8,0,0,0,,0,0,0,,1,3,0,3.0,0,0,0,0,0,0,47,70.1,0,0.0,2,7.7
8,7.0,,9.0,10.0,2016-11-13,HOU,@,JAX,"W, 24-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,8.0,10.0,11.0,2016-11-21,HOU,@,OAK,"L, 20-27",,4,1,17,17.0,0,25.0,4.3,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,41,53.9,0,0.0,0,0.0
10,9.0,9.0,11.0,12.0,2016-11-27,HOU,,SDG,"L, 13-21",*,6,4,60,15.0,0,66.7,10.0,0,0,0,,0,0,0,,3,27,0,9.0,1,0,0,0,0,0,53,76.8,0,0.0,6,23.1
11,10.0,10.0,12.0,13.0,2016-12-04,HOU,@,GNB,"L, 13-21",*,6,5,59,11.8,0,83.3,9.8,0,0,0,,0,0,0,,1,16,0,16.0,0,0,0,0,0,0,52,78.8,0,0.0,5,22.7
12,11.0,11.0,13.0,14.0,2016-12-11,HOU,@,IND,"W, 22-17",*,4,2,22,11.0,0,50.0,5.5,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,58,80.6,0,0.0,2,7.7
13,12.0,12.0,14.0,15.0,2016-12-18,HOU,,JAX,"W, 21-20",*,8,4,42,10.5,0,50.0,5.3,1,-3,0,-3.0,1,12,0,12.0,4,38,0,9.5,1,0,0,0,0,0,68,81.0,0,0.0,9,25.7
14,13.0,13.0,15.0,16.0,2016-12-24,HOU,,CIN,"W, 12-10",*,6,3,39,13.0,0,50.0,6.5,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,61,95.3,0,0.0,0,0.0
15,14.0,14.0,16.0,17.0,2017-01-01,HOU,@,TEN,"L, 17-24",*,7,3,24,8.0,0,42.9,3.4,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,73,98.6,0,0.0,0,0.0
16,,,,,,,,,7-7,,92,47,635,13.5,2,51.1,6.9,1,-3,0,-3.0,2,31,0,15.5,11,165,1,15.0,2,0,0,0,0,0,829,83.9,0,0.0,37,9.5
