,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt.1,PassYds.1,Awards
0,2022,22,WAS,NFL,QB,1.0,1.0,11.0,19.0,160.0,8.4,94.0,8.5,4.9,75.0,6.8,1.0,1.0,0.0,2.0,11.1,3.0,16.7,13.0,72.2,2.7,1.0,1.0,0.0,4.0,16.0,3.0,9.0,2.0,-2.0,2.0,-2.0,0.0,0.0,4.0,-2.0,
1,2023,23,WAS,NFL,QB,17.0,17.0,388.0,612.0,4603.0,7.5,1927.0,5.0,3.1,2019.0,5.2,20.0,32.0,1.0,25.0,4.3,88.0,15.2,427.0,73.7,2.4,181.0,39.0,57.0,161.0,22.7,33.0,7.4,77.0,369.0,66.0,345.0,4.0,24.0,67.0,370.0,
2,2024,24,SEA,NFL,QB,2.0,0.0,5.0,14.0,83.0,5.9,17.0,3.4,1.2,7.0,1.4,1.0,0.0,0.0,1.0,7.1,5.0,35.7,6.0,42.9,2.4,1.0,2.0,1.0,7.0,36.8,1.0,2.0,5.0,3.0,4.0,3.0,0.0,0.0,4.0,3.0,
3,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,20.0,18.0,404.0,645.0,4846.0,7.5,2038.0,5.0,3.2,2101.0,5.2,22.0,33.0,1.0,28.0,4.6,96.0,15.7,446.0,73.0,2.5,183.0,42.0,58.0,172.0,22.8,37.0,7.4,84.0,370.0,72.0,346.0,4.0,24.0,75.0,371.0,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,343.0,548.0,4119.0,7.5,1732.0,5.0,3.2,1786.0,5.2,19.0,28.0,1.0,24.0,4.6,82.0,15.7,379.0,73.0,2.5,156.0,36.0,49.0,146.0,22.8,31.0,7.4,71.0,315.0,61.0,294.0,3.0,20.0,64.0,315.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,18.0,18.0,399.0,631.0,4763.0,7.5,2021.0,5.1,3.2,2094.0,5.2,21.0,33.0,1.0,27.0,4.5,91.0,15.2,440.0,73.7,2.6,182.0,40.0,57.0,165.0,22.4,36.0,7.6,79.0,367.0,68.0,343.0,4.0,24.0,71.0,368.0,
7,SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),,2.0,0.0,5.0,14.0,83.0,5.9,17.0,3.4,1.2,7.0,1.4,1.0,0.0,0.0,1.0,7.1,5.0,35.7,6.0,42.9,2.4,1.0,2.0,1.0,7.0,36.8,1.0,2.0,5.0,3.0,4.0,3.0,0.0,0.0,4.0,3.0,
