,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Sfty,Fmb,FR,Yds,FRTD
0,1.0,141.0,1.0,1.0,1977-09-18,MIN,,DAL,"L, 10-16 (OT)",*,0.0,0,0,0,0,0
1,2.0,142.0,2.0,2.0,1977-09-24,MIN,@,TAM,"W, 9-3",*,0.0,0,0,0,0,0
2,3.0,143.0,3.0,3.0,1977-10-02,MIN,,GNB,"W, 19-7",*,0.0,0,0,0,0,0
3,4.0,144.0,4.0,4.0,1977-10-09,MIN,,DET,"W, 14-7",*,0.0,0,0,0,0,0
4,5.0,145.0,5.0,5.0,1977-10-16,MIN,,CHI,"W, 22-16 (OT)",*,0.0,0,0,0,0,0
5,6.0,146.0,6.0,6.0,1977-10-24,MIN,@,RAM,"L, 3-35",*,0.0,0,0,0,0,0
6,7.0,147.0,7.0,7.0,1977-10-30,MIN,@,ATL,"W, 14-7",*,0.0,0,0,0,0,0
7,8.0,148.0,8.0,8.0,1977-11-06,MIN,,STL,"L, 7-27",*,0.0,0,0,0,0,0
8,9.0,149.0,9.0,9.0,1977-11-13,MIN,,CIN,"W, 42-10",*,0.0,0,0,0,0,0
9,10.0,150.0,10.0,10.0,1977-11-20,MIN,@,CHI,"L, 7-10",*,0.0,0,0,0,0,0
10,11.0,151.0,11.0,11.0,1977-11-27,MIN,@,GNB,"W, 13-6",*,0.0,0,0,0,0,0
11,12.0,152.0,12.0,12.0,1977-12-04,MIN,,SFO,"W, 28-27",*,0.0,0,0,0,0,0
12,13.0,153.0,13.0,13.0,1977-12-11,MIN,@,OAK,"L, 13-35",*,0.0,0,0,0,0,0
13,14.0,154.0,14.0,14.0,1977-12-17,MIN,@,DET,"W, 30-21",*,0.0,0,0,0,0,0
14,,,,,,,,,9-5,,0.0,0,0,0,0,0
