,Rk,Gtm,Week,Date,Team,Unnamed: 5,Opp,Result,GS,Sk,Sfty,Int,Yds,IntTD,Fmb,FR,Yds.1,FRTD
0,1.0,11.0,11.0,1969-11-27,MIN,@,DET,"W, 27-0",,0.0,0,0,15,1,0,0,0,0
1,,,,,,,,1-0,,0.0,0,0,15,1,0,0,0,0
