,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Sfty,Int,Yds,IntTD,PD,Fmb,FF,FR,Yds.1,FRTD
0,1.0,43.0,1.0,1.0,1970-09-20,MIN,,KAN,"W, 27-10",*,0.0,0,0,0,0,,0,,0,0,0
1,2.0,44.0,2.0,2.0,1970-09-27,MIN,,NOR,"W, 26-0",*,0.0,0,0,0,0,,0,,0,0,0
2,3.0,45.0,3.0,3.0,1970-10-04,MIN,@,GNB,"L, 10-13",*,0.0,0,0,0,0,,0,,0,0,0
3,4.0,46.0,4.0,4.0,1970-10-11,MIN,@,CHI,"W, 24-0",*,0.0,0,0,0,0,,0,,0,0,1
4,5.0,47.0,5.0,5.0,1970-10-18,MIN,,DAL,"W, 54-13",*,0.0,0,1,27,0,0.0,0,0.0,0,0,0
5,6.0,48.0,6.0,6.0,1970-10-26,MIN,,RAM,"W, 13-3",*,0.0,0,0,0,0,,0,,0,0,0
6,7.0,49.0,7.0,7.0,1970-11-01,MIN,@,DET,"W, 30-17",*,0.0,0,0,0,0,,0,,0,0,0
7,8.0,50.0,8.0,8.0,1970-11-08,MIN,@,WAS,"W, 19-10",*,0.0,0,0,0,0,,0,,0,0,0
8,9.0,51.0,9.0,9.0,1970-11-15,MIN,,DET,"W, 24-20",*,0.0,0,0,0,0,,0,,0,0,0
9,10.0,52.0,10.0,10.0,1970-11-22,MIN,,GNB,"W, 10-3",*,0.0,0,0,0,0,,0,,0,0,0
10,11.0,53.0,11.0,11.0,1970-11-29,MIN,@,NYJ,"L, 10-20",*,0.0,0,0,0,0,,0,,0,0,0
11,12.0,54.0,12.0,12.0,1970-12-05,MIN,,CHI,"W, 16-13",*,0.0,0,0,0,0,,0,,0,0,0
12,13.0,55.0,13.0,13.0,1970-12-13,MIN,@,BOS,"W, 35-14",*,0.0,0,0,0,0,,0,,0,0,0
13,14.0,56.0,14.0,14.0,1970-12-20,MIN,@,ATL,"W, 37-7",*,0.0,0,0,0,0,,0,,0,0,0
14,,,,,,,,,12-2,,0.0,0,1,27,0,0.0,0,0.0,0,0,1
