,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Sfty,Fmb,FR,Yds,FRTD
0,1.0,85.0,1.0,1.0,1973-09-16,MIN,,OAK,"W, 24-16",*,0.0,0,0,0,0,0
1,2.0,86.0,2.0,2.0,1973-09-23,MIN,@,CHI,"W, 22-13",*,0.0,0,0,0,0,0
2,3.0,87.0,3.0,3.0,1973-09-30,MIN,,GNB,"W, 11-3",*,0.0,0,0,0,0,0
3,4.0,88.0,4.0,4.0,1973-10-07,MIN,@,DET,"W, 23-9",*,0.0,0,0,0,0,0
4,5.0,89.0,5.0,5.0,1973-10-14,MIN,@,SFO,"W, 17-13",*,0.0,0,0,0,0,0
5,6.0,90.0,6.0,6.0,1973-10-21,MIN,,PHI,"W, 28-21",*,0.0,0,0,0,0,0
6,7.0,91.0,7.0,7.0,1973-10-28,MIN,,RAM,"W, 10-9",*,0.0,0,0,0,0,0
7,8.0,92.0,8.0,8.0,1973-11-04,MIN,,CLE,"W, 26-3",*,0.0,0,0,0,0,0
8,9.0,93.0,9.0,9.0,1973-11-11,MIN,,DET,"W, 28-7",*,0.0,0,0,0,0,0
9,10.0,94.0,10.0,10.0,1973-11-19,MIN,@,ATL,"L, 14-20",*,0.0,0,0,0,0,0
10,11.0,95.0,11.0,11.0,1973-11-25,MIN,,CHI,"W, 31-13",*,0.0,0,0,0,0,0
11,12.0,96.0,12.0,12.0,1973-12-02,MIN,@,CIN,"L, 0-27",*,0.0,0,0,0,0,0
12,13.0,97.0,13.0,13.0,1973-12-08,MIN,@,GNB,"W, 31-7",*,0.0,0,0,0,0,0
13,14.0,98.0,14.0,14.0,1973-12-16,MIN,@,NYG,"W, 31-7",*,0.0,0,0,0,0,0
14,,,,,,,,,12-2,,0.0,0,0,0,0,0
