,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Sfty,Fmb,FR,Yds,FRTD
0,1.0,171.0,1.0,1.0,1979-09-02,CHI,,GNB,"W, 6-3",*,0.0,0,0,0,0,0
1,2.0,172.0,2.0,2.0,1979-09-09,CHI,,MIN,"W, 26-7",*,0.0,0,0,0,0,0
2,3.0,173.0,3.0,3.0,1979-09-16,CHI,@,DAL,"L, 20-24",*,0.0,0,0,0,0,0
3,4.0,174.0,4.0,4.0,1979-09-23,CHI,@,MIA,"L, 16-31",*,0.0,0,0,0,0,0
4,5.0,175.0,5.0,5.0,1979-09-30,CHI,,TAM,"L, 13-17",*,0.0,0,0,0,0,0
5,6.0,176.0,6.0,6.0,1979-10-07,CHI,@,BUF,"W, 7-0",*,0.0,0,0,0,0,0
6,7.0,177.0,7.0,7.0,1979-10-14,CHI,,NWE,"L, 7-27",*,0.0,0,0,0,0,0
7,8.0,178.0,8.0,8.0,1979-10-21,CHI,@,MIN,"L, 27-30",*,0.0,0,0,0,0,0
8,9.0,179.0,9.0,9.0,1979-10-28,CHI,@,SFO,"W, 28-27",*,0.0,0,0,0,0,0
9,10.0,180.0,10.0,10.0,1979-11-04,CHI,,DET,"W, 35-7",*,0.0,0,0,0,0,0
10,11.0,181.0,11.0,11.0,1979-11-11,CHI,,RAM,"W, 27-23",*,0.0,0,0,0,0,0
11,12.0,182.0,12.0,12.0,1979-11-18,CHI,,NYJ,"W, 23-13",*,0.0,0,0,0,0,0
12,13.0,183.0,13.0,13.0,1979-11-22,CHI,@,DET,"L, 0-20",*,0.0,0,0,0,0,0
13,14.0,184.0,14.0,14.0,1979-12-02,CHI,@,TAM,"W, 14-0",*,0.0,0,0,0,0,0
14,15.0,185.0,15.0,15.0,1979-12-09,CHI,@,GNB,"W, 15-14",*,0.0,0,0,0,0,0
15,16.0,186.0,16.0,16.0,1979-12-16,CHI,,STL,"W, 42-6",*,0.0,0,0,0,0,0
16,,,,,,,,,10-6,,0.0,0,0,0,0,0
