,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2022,22,GNB,NFL,WR,13,7,67,42,425,10.1,3,20,46.3,26,3.2,32.7,62.7,6.3,1,11,0,1,100.0,11.0,11.0,0.8,0.1,43,10.1,436,3,2,4,
1,2023,23,GNB,NFL,WR,17,16,96,59,674,11.4,8,41,51.0,36,3.5,39.6,61.5,7.0,0,0,0,0,,,,0.0,0.0,59,11.4,674,8,1,7,
2,2024,24,GNB,NFL,WR,13,12,72,46,601,13.1,4,33,59.7,39,3.5,46.2,63.9,8.3,0,0,0,0,,,,0.0,0.0,46,13.1,601,4,0,6,
3,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,43,35,235,147,1700,11.6,15,94,52.3,39,3.4,39.5,62.6,7.2,1,11,0,1,100.0,11.0,11.0,0.3,0.0,148,11.6,1711,15,3,17,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,93,58,672,11.6,6,37,52.3,39,3.4,39.5,62.6,7.2,0,4,0,0,100.0,11.0,11.0,0.3,0.0,59,4.6,676,6,1,7,
