,Rk,Gtm,Week,Date,Team,Unnamed: 5,Opp,Result,GS,Rec,Yds,Y/R,TD
0,1.0,1.0,1.0,1963-09-15,PIT,@,PHI,"T, 21-21",,2,27,13.5,0
1,,,,,,,,0-0-1,,2,27,13.5,0
