,Rk,Gtm,Week,Date,Team,Unnamed: 5,Opp,Result,GS,Rec,Yds,Y/R,TD,Ret,Yds.1,KRTD,Y/Ret,Fmb,FF,FR,Yds.2,FRTD
0,1.0,2.0,2.0,1964-09-20,PIT,,NYG,"W, 27-24",,1,13,13.0,0,0,0,0,,0,0,0,0,0
1,2.0,8.0,8.0,1964-11-01,PIT,,CLE,"L, 17-30",,1,19,19.0,0,0,0,0,,0,0,0,0,0
2,3.0,9.0,9.0,1964-11-08,PIT,@,STL,"L, 30-34",,1,43,43.0,0,0,0,0,,0,0,0,0,0
3,4.0,10.0,10.0,1964-11-15,PIT,,WAS,"L, 0-30",,2,25,12.5,0,0,0,0,,0,0,0,0,0
4,5.0,11.0,11.0,1964-11-22,PIT,@,NYG,"W, 44-17",,0,0,,0,2,0,0,0.0,0,0,0,0,0
5,6.0,12.0,12.0,1964-11-29,PIT,,STL,"L, 20-21",,1,13,13.0,0,0,0,0,,0,0,0,0,0
6,,,,,,,,2-4,,6,113,18.8,0,2,0,0,0.0,0,0,0,0,0
