,Rk,Gtm,Week,Date,Team,Unnamed: 5,Opp,Result,GS,Rec,Yds,Y/R,TD,Ret,Yds.1,KRTD,Y/Ret,Fmb,FF,FR,Yds.2,FRTD
0,1.0,5.0,5.0,1967-10-15,WAS,@,ATL,"T, 20-20",,3,39,13.0,0,0,0,0,,0,0,0,0,0
1,2.0,6.0,6.0,1967-10-22,WAS,@,RAM,"T, 28-28",,1,8,8.0,0,0,0,0,,0,0,0,0,0
2,3.0,7.0,7.0,1967-10-29,WAS,,BAL,"L, 13-17",,3,35,11.7,0,0,0,0,,0,0,0,0,0
3,4.0,9.0,9.0,1967-11-12,WAS,,SFO,"W, 31-28",,2,13,6.5,0,0,0,0,,0,0,0,0,0
4,5.0,10.0,10.0,1967-11-19,WAS,@,DAL,"W, 27-20",,0,0,,0,1,2,0,2.0,0,0,0,0,0
5,,,,,,,,2-1-2,,9,95,10.6,0,1,2,0,2.0,0,0,0,0,0
