,Rk,Gtm,Week,Date,Team,Unnamed: 5,Opp,Result,GS,Rec,Yds,Y/R,TD,Fmb,FF,FR,Yds.1,FRTD
0,1.0,13.0,14.0,1966-12-11,WAS,@,DAL,"W, 34-31",,1,9,9.0,0,0,0,0,0,0
1,,,,,,,,1-0,,1,9,9.0,0,0,0,0,0,0
