,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1,2021-09-12,ATL,,PHI,"L, 6-32",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2,2021-09-19,ATL,@,TAM,"L, 25-48",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3,2021-09-26,ATL,@,NYG,"W, 17-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,54.0,4.0,4,2021-10-03,ATL,,WAS,"L, 30-34",,6,29,0,4.8,1,0,0,,0,0.0,0.0,0,0,0,,10,13.2,0,0.0,7,25.9
4,2.0,55.0,5.0,5,2021-10-10,ATL,,NYJ,"W, 27-20",,1,2,0,2.0,0,0,0,,0,,,0,0,0,,3,3.8,0,0.0,4,16.7
5,3.0,56.0,6.0,7,2021-10-24,ATL,@,MIA,"W, 30-28",,1,2,0,2.0,0,0,0,,0,,,0,0,0,,3,4.8,0,0.0,11,39.3
6,3.0,,7.0,8,2021-10-31,ATL,,CAR,"L, 13-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,3.0,,8.0,9,2021-11-07,ATL,@,NOR,"W, 27-25",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,4.0,57.0,9.0,10,2021-11-14,ATL,@,DAL,"L, 3-43",,15,55,0,3.7,2,1,21,21.0,0,50.0,10.5,0,0,0,,23,42.6,0,0.0,13,52.0
9,5.0,58.0,10.0,11,2021-11-18,ATL,,NWE,"L, 0-25",,1,-3,0,-3.0,0,0,0,,0,,,0,0,0,,2,3.7,0,0.0,1,4.2
10,6.0,59.0,11.0,12,2021-11-28,ATL,@,JAX,"W, 21-14",,4,19,0,4.8,0,0,0,,0,,,0,0,0,,5,8.3,0,0.0,0,0.0
11,6.0,,12.0,13,2021-12-05,ATL,,TAM,"L, 17-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,,,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings,Player went from Atlanta Falcons to Minnesota Vikings
13,7.0,60.0,14.0,15,2021-12-20,MIN,@,CHI,"W, 17-9",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0.0,0,0.0,2,9.5
14,8.0,61.0,15.0,16,2021-12-26,MIN,,LAR,"L, 23-30",,0,0,0,,0,0,0,,0,,,1,7,0,7.0,0,0.0,0,0.0,8,25.8
15,8.0,,16.0,17,2022-01-02,MIN,@,GNB,"L, 10-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,8.0,,17.0,18,2022-01-09,MIN,,CHI,"W, 31-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,4-4,,28,104,0,3.7,3,1,21,21.0,0,33.3,7.0,1,7,0,7.0,46,9.0,0,0.0,46,22.8
