,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,Rat,Awards
0,2018,24,NYG,NFL,RB,15.0,1.0,51.0,176.0,7.0,84.0,1.6,92.0,1.8,4.0,12.8,22.0,14.0,89.0,5.0,8.0,0.6,81.0,5.8,1.3,3.0,4.7,2.0,9.1,0.0,72.0,
1,2019,25,NYG,NFL,RB,10.0,2.0,29.0,110.0,6.0,72.0,2.5,38.0,1.3,0.0,,15.0,11.0,102.0,4.0,-2.0,-0.2,104.0,9.5,2.1,2.0,5.5,0.0,0.0,0.0,113.7,
2,2020,26,NYG,NFL,RB,15.0,10.0,147.0,682.0,36.0,320.0,2.2,362.0,2.5,10.0,14.7,27.0,21.0,114.0,6.0,14.0,0.7,100.0,4.8,0.4,0.0,,3.0,11.1,0.0,84.3,
3,2021,27,2TM,NFL,RB,8.0,0.0,28.0,104.0,5.0,69.0,2.5,35.0,1.3,2.0,14.0,3.0,1.0,21.0,1.0,1.0,1.0,20.0,20.0,1.7,0.0,,0.0,0.0,0.0,59.0,
4,2021,27,ATL,NFL,RB,6.0,0.0,28.0,104.0,5.0,69.0,2.5,35.0,1.3,2.0,14.0,3.0,1.0,21.0,1.0,1.0,1.0,20.0,20.0,1.7,0.0,,0.0,0.0,0.0,59.0,
5,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,48.0,13.0,255.0,1072.0,54.0,545.0,2.1,527.0,2.1,16.0,15.9,67.0,47.0,326.0,16.0,21.0,0.4,305.0,6.5,1.1,5.0,9.4,5.0,7.5,0.0,85.8,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,5.0,90.0,380.0,19.0,193.0,2.1,187.0,2.1,6.0,15.9,24.0,17.0,115.0,6.0,7.0,0.4,108.0,6.5,1.1,2.0,9.4,2.0,7.5,0.0,85.8,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NYG (3 Yrs),NYG (3 Yrs),NYG (3 Yrs),NYG (3 Yrs),,40.0,13.0,227.0,968.0,49.0,476.0,2.1,492.0,2.2,14.0,16.2,64.0,46.0,305.0,15.0,20.0,0.4,285.0,6.2,1.1,5.0,9.2,5.0,7.8,0.0,87.0,
9,ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,6.0,0.0,28.0,104.0,5.0,69.0,2.5,35.0,1.3,2.0,14.0,3.0,1.0,21.0,1.0,1.0,1.0,20.0,20.0,1.7,0.0,,0.0,0.0,0.0,59.0,
10,MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,
