,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2023-09-10,PHI,@,NWE,"W, 25-20",*,14,54,0,3.9,4,4,20,5.0,0,100.0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,62.1,0,0.0,0,0.0
1,1.0,,2.0,2.0,2023-09-14,PHI,,MIN,"W, 34-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2.0,35.0,3.0,3.0,2023-09-25,PHI,@,TAM,"W, 25-11",,14,43,0,3.1,2,1,5,5.0,0,50.0,2.5,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,46.3,0,0.0,0,0.0
3,3.0,36.0,4.0,4.0,2023-10-01,PHI,,WAS,"W, 34-31 (OT)",,4,14,0,3.5,2,2,7,3.5,0,100.0,3.5,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,27,38.0,0,0.0,0,0.0
4,4.0,37.0,5.0,5.0,2023-10-08,PHI,@,LAR,"W, 23-14",,7,17,0,2.4,2,1,7,7.0,0,50.0,3.5,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,38.0,0,0.0,0,0.0
5,5.0,38.0,6.0,6.0,2023-10-15,PHI,@,NYJ,"L, 14-20",,2,13,0,6.5,2,1,4,4.0,0,50.0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,41.4,0,0.0,0,0.0
6,6.0,39.0,7.0,7.0,2023-10-22,PHI,,MIA,"W, 31-17",,8,16,1,2.0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,31.9,0,0.0,0,0.0
7,7.0,40.0,8.0,8.0,2023-10-29,PHI,@,WAS,"W, 38-31",,2,-4,0,-2.0,5,5,30,6.0,0,100.0,6.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,19,30.2,0,0.0,6,21.4
8,8.0,41.0,9.0,9.0,2023-11-05,PHI,,DAL,"W, 28-23",,3,22,1,7.3,1,1,1,1.0,0,100.0,1.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,37.1,0,0.0,3,12.5
9,9.0,42.0,10.0,11.0,2023-11-20,PHI,@,KAN,"W, 21-17",,1,1,0,1.0,1,1,4,4.0,0,100.0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,30.4,0,0.0,2,7.7
10,10.0,43.0,11.0,12.0,2023-11-26,PHI,,BUF,"W, 37-34 (OT)",,2,26,0,13.0,3,2,10,5.0,0,66.7,3.3,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,34.8,0,0.0,2,5.6
11,11.0,44.0,12.0,13.0,2023-12-03,PHI,,SFO,"L, 19-42",,2,5,0,2.5,6,5,42,8.4,0,83.3,7.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,39,54.2,0,0.0,5,19.2
12,12.0,45.0,13.0,14.0,2023-12-10,PHI,@,DAL,"L, 13-33",,4,28,0,7.0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,45.5,0,0.0,4,16.0
13,13.0,46.0,14.0,15.0,2023-12-18,PHI,@,SEA,"L, 17-20",,6,21,0,3.5,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,40.6,0,0.0,3,11.1
14,14.0,47.0,15.0,16.0,2023-12-25,PHI,,NYG,"W, 33-25",,6,41,0,6.8,3,3,38,12.7,0,100.0,12.7,0,0,,0,0,0,,,,0,0,1,19,0,19.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,30,40.0,0,0.0,12,41.4
15,15.0,48.0,16.0,17.0,2023-12-31,PHI,,ARI,"L, 31-35",,2,5,0,2.5,4,4,15,3.8,0,100.0,3.8,1,1,100.0,17,0,0,17.0,17.00,118.7,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,53.1,0,0.0,13,52.0
16,16.0,49.0,17.0,18.0,2024-01-07,PHI,@,NYG,"L, 10-27",*,7,62,0,8.9,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,38.5,0,0.0,10,38.5
17,,,,,,,,,10-6,,84,364,2,4.3,37,30,183,6.1,0,81.1,4.9,1,1,100.0,17,0,0,17.0,17.00,118.7,0,0,1,19,0,19.0,0.0,1,1,0,0,0,0,3,1,0,0,0,0,442,41.3,0,0.0,60,14.4
