,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,82.0,1.0,1.0,2024-09-08,DEN,@,SEA,"L, 20-26",,12,4,38,9.5,0,33.3,3.2,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,63,91.3,0,0.0,0,0.0
1,2.0,83.0,2.0,2.0,2024-09-15,DEN,,PIT,"L, 6-13",*,4,1,26,26.0,0,25.0,6.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,88.5,0,0.0,0,0.0
2,3.0,84.0,3.0,3.0,2024-09-22,DEN,@,TAM,"W, 26-7",*,11,7,68,9.7,0,63.6,6.2,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,73.5,0,0.0,0,0.0
3,4.0,85.0,4.0,4.0,2024-09-29,DEN,@,NYJ,"W, 10-9",,9,3,60,20.0,1,33.3,6.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,48,78.7,0,0.0,0,0.0
4,5.0,86.0,5.0,5.0,2024-10-06,DEN,,LVR,"W, 34-18",*,5,2,32,16.0,0,40.0,6.4,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,51,81.0,0,0.0,1,3.3
5,6.0,87.0,6.0,6.0,2024-10-13,DEN,,LAC,"L, 16-23",*,6,4,53,13.3,1,66.7,8.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,47,85.5,0,0.0,0,0.0
6,7.0,88.0,7.0,7.0,2024-10-17,DEN,@,NOR,"W, 33-10",*,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,86.2,0,0.0,1,3.4
7,8.0,89.0,8.0,8.0,2024-10-27,DEN,,CAR,"W, 28-14",*,11,8,100,12.5,0,72.7,9.1,1,1,100.0,28,0,0,28.0,28.0,118.7,0,0,1,1,0,0,0,0,61,83.6,0,0.0,1,4.2
8,9.0,90.0,9.0,9.0,2024-11-03,DEN,@,BAL,"L, 10-41",*,10,7,122,17.4,0,70.0,12.2,1,1,100.0,2,1,0,2.0,22.0,118.7,0,0,0,0,0,0,0,0,61,84.7,0,0.0,0,0.0
9,10.0,91.0,10.0,10.0,2024-11-10,DEN,@,KAN,"L, 14-16",*,9,6,70,11.7,1,66.7,7.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,93.1,0,0.0,0,0.0
10,11.0,92.0,11.0,11.0,2024-11-17,DEN,,ATL,"W, 38-6",,8,7,78,11.1,0,87.5,9.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,83.9,0,0.0,0,0.0
11,12.0,93.0,12.0,12.0,2024-11-24,DEN,@,LVR,"W, 29-19",*,10,8,97,12.1,2,80.0,9.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,58,85.3,0,0.0,0,0.0
12,13.0,94.0,13.0,13.0,2024-12-02,DEN,,CLE,"W, 41-32",*,9,6,102,17.0,0,66.7,11.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,62,93.9,0,0.0,0,0.0
13,14.0,95.0,14.0,15.0,2024-12-15,DEN,,IND,"W, 31-13",*,9,3,32,10.7,1,33.3,3.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,57,90.5,0,0.0,0,0.0
14,15.0,96.0,15.0,16.0,2024-12-19,DEN,@,LAC,"L, 27-34",,6,5,50,10.0,0,83.3,8.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,58,90.6,0,0.0,0,0.0
15,16.0,97.0,16.0,17.0,2024-12-28,DEN,@,CIN,"L, 24-30 (OT)",*,9,5,55,11.0,1,55.6,6.1,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,93.3,0,0.0,0,0.0
16,17.0,98.0,17.0,18.0,2025-01-05,DEN,,KAN,"W, 38-0",*,7,5,98,19.6,1,71.4,14.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,48,64.9,0,0.0,0,0.0
17,,,,,,,,,10-7,,135,81,1081,13.3,8,60.0,8.0,2,2,100.0,30,1,0,15.0,25.0,158.3,0,0,1,1,0,0,0,0,936,84.9,0,0.0,3,0.6
