,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2021-09-12,DEN,@,NYG,"W, 27-13",*,3,1,14,14.0,0,33.3,4.7,0,0,,0,0,0,,,,0,0,53,80.3,0,0.0,0,0.0
1,2.0,35.0,2.0,2.0,2021-09-19,DEN,@,JAX,"W, 23-13",*,12,9,159,17.7,0,75.0,13.3,0,0,,0,0,0,,,,0,0,53,76.8,0,0.0,1,4.0
2,3.0,36.0,3.0,3.0,2021-09-26,DEN,,NYJ,"W, 26-0",*,5,5,37,7.4,0,100.0,7.4,0,0,,0,0,0,,,,0,0,51,76.1,0,0.0,0,0.0
3,4.0,37.0,4.0,4.0,2021-10-03,DEN,,BAL,"L, 7-23",*,8,3,47,15.7,0,37.5,5.9,0,0,,0,0,0,,,,0,0,58,95.1,0,0.0,0,0.0
4,5.0,38.0,5.0,5.0,2021-10-10,DEN,@,PIT,"L, 19-27",*,11,7,120,17.1,1,63.6,10.9,0,0,,0,0,0,,,,0,0,54,90.0,0,0.0,0,0.0
5,6.0,39.0,6.0,6.0,2021-10-17,DEN,,LVR,"L, 24-34",*,14,8,94,11.8,1,57.1,6.7,0,0,,0,0,0,,,,0,0,71,87.7,0,0.0,0,0.0
6,7.0,40.0,7.0,7.0,2021-10-21,DEN,@,CLE,"L, 14-17",*,5,5,68,13.6,0,100.0,13.6,0,0,,0,0,0,,,,0,0,47,94.0,0,0.0,0,0.0
7,8.0,41.0,8.0,8.0,2021-10-31,DEN,,WAS,"W, 17-10",*,4,2,40,20.0,0,50.0,10.0,0,0,,0,0,0,,,,0,0,46,86.8,0,0.0,0,0.0
8,9.0,42.0,9.0,9.0,2021-11-07,DEN,@,DAL,"W, 30-16",*,2,1,9,9.0,0,50.0,4.5,0,0,,0,0,0,,,,0,0,65,83.3,0,0.0,2,8.7
9,10.0,43.0,10.0,10.0,2021-11-14,DEN,,PHI,"L, 13-30",*,3,2,29,14.5,0,66.7,9.7,0,0,,0,0,0,,,,0,0,55,94.8,0,0.0,0,0.0
10,11.0,44.0,11.0,12.0,2021-11-28,DEN,,LAC,"W, 28-13",*,3,2,17,8.5,0,66.7,5.7,0,0,,0,0,0,,,,0,0,45,72.6,0,0.0,1,5.0
11,12.0,45.0,12.0,13.0,2021-12-05,DEN,@,KAN,"L, 9-22",*,6,2,15,7.5,0,33.3,2.5,0,0,,0,0,0,,,,0,0,68,88.3,0,0.0,0,0.0
12,13.0,46.0,13.0,14.0,2021-12-12,DEN,,DET,"W, 38-10",,2,1,9,9.0,0,50.0,4.5,0,0,,0,0,0,,,,0,0,59,86.8,0,0.0,0,0.0
13,14.0,47.0,14.0,15.0,2021-12-19,DEN,,CIN,"L, 10-15",*,7,2,12,6.0,0,28.6,1.7,0,0,,0,0,0,,,,0,0,69,92.0,0,0.0,0,0.0
14,15.0,48.0,15.0,16.0,2021-12-26,DEN,@,LVR,"L, 13-17",*,5,4,33,8.3,0,80.0,6.6,0,0,,0,0,0,,,,0,0,33,78.6,0,0.0,0,0.0
15,16.0,49.0,16.0,17.0,2022-01-02,DEN,@,LAC,"L, 13-34",*,5,3,60,20.0,0,60.0,12.0,0,0,,0,0,0,,,,0,0,52,86.7,0,0.0,0,0.0
16,17.0,50.0,17.0,18.0,2022-01-08,DEN,,KAN,"L, 24-28",*,3,1,13,13.0,0,33.3,4.3,1,1,100.0,16,0,0,16.0,16.0,118.7,0,0,41,75.9,0,0.0,0,0.0
17,,,,,,,,,7-10,,98,58,776,13.4,2,59.2,7.9,1,1,100.0,16,0,0,16.0,16.0,118.7,0,0,920,85.1,0,0.0,4,1.0
