,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2021,26,DAL,NFL,WR,1.0,0.0,10.0,5.0,62.0,12.4,0.0,2.0,40.0,24.0,5.0,62.0,50.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.4,62.0,0.0,1.0,
1,2022,27,MIA,NFL,WR,1.0,0.0,1.0,1.0,14.0,14.0,0.0,1.0,100.0,14.0,1.0,14.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,0.0,0.0,
2,2023,28,MIA,NFL,WR,1.0,0.0,7.0,3.0,37.0,12.3,0.0,2.0,28.6,19.0,3.0,37.0,42.9,5.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.3,37.0,0.0,0.0,
3,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,3.0,0.0,18.0,9.0,113.0,12.6,0.0,5.0,38.9,24.0,3.0,37.7,50.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.6,113.0,0.0,1.0,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,0.0,102.0,51.0,640.0,12.6,0.0,28.0,38.9,24.0,3.0,37.7,50.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,51.0,12.6,640.0,0.0,6.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),,2.0,0.0,8.0,4.0,51.0,12.8,0.0,3.0,37.5,19.0,2.0,25.5,50.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.8,51.0,0.0,0.0,
7,DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,1.0,0.0,10.0,5.0,62.0,12.4,0.0,2.0,40.0,24.0,5.0,62.0,50.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.4,62.0,0.0,1.0,
