,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,39.0,1.0,1.0,2022-09-11,MIA,,NWE,"W, 20-7",,2,2,20,10.0,0,100.0,10.0,1,8,0,8.0,0,0,0,0,0,0,0,0,0,0,,28,46.7,0,0.0,0,0.0
1,2.0,40.0,2.0,2.0,2022-09-18,MIA,@,BAL,"W, 42-38",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,31.0,0,0.0,0,0.0
2,3.0,41.0,3.0,3.0,2022-09-25,MIA,,BUF,"W, 21-19",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,5,11.6,0,0.0,0,0.0
3,3.0,,4.0,4.0,2022-09-29,MIA,@,CIN,"L, 15-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,42.0,5.0,5.0,2022-10-09,MIA,@,NYJ,"L, 17-40",,4,2,20,10.0,0,50.0,5.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,16,23.9,0,0.0,0,0.0
5,5.0,43.0,6.0,6.0,2022-10-16,MIA,,MIN,"L, 16-24",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,15,19.2,0,0.0,0,0.0
6,6.0,44.0,7.0,7.0,2022-10-23,MIA,,PIT,"W, 16-10",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,1,1,0,1.0,4,6.5,0,0.0,6,23.1
7,7.0,45.0,8.0,8.0,2022-10-30,MIA,@,DET,"W, 31-27",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,0,2,24,0,12.0,14,20.6,0,0.0,3,12.0
8,8.0,46.0,9.0,9.0,2022-11-06,MIA,@,CHI,"W, 35-32",,2,2,23,11.5,0,100.0,11.5,0,0,0,,0,0,0,0,0,0,0,1,8,0,8.0,13,22.8,0,0.0,3,11.5
9,9.0,47.0,10.0,10.0,2022-11-13,MIA,,CLE,"W, 39-17",,1,1,7,7.0,0,100.0,7.0,0,0,0,,0,0,0,0,0,1,6,1,8,0,8.0,21,30.4,0,0.0,1,4.3
10,10.0,48.0,11.0,12.0,2022-11-27,MIA,,HOU,"W, 30-15",,3,2,26,13.0,0,66.7,8.7,0,0,0,,0,0,0,0,0,0,0,3,22,0,7.3,33,43.4,0,0.0,7,23.3
11,11.0,49.0,12.0,13.0,2022-12-04,MIA,@,SFO,"L, 17-33",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,2,21,0,10.5,9,19.6,0,0.0,4,13.3
12,12.0,50.0,13.0,14.0,2022-12-11,MIA,@,LAC,"L, 17-23",,2,2,19,9.5,0,100.0,9.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20,39.2,0,0.0,4,13.8
13,13.0,51.0,14.0,15.0,2022-12-17,MIA,@,BUF,"L, 29-32",,2,1,21,21.0,0,50.0,10.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,,13,22.0,0,0.0,5,16.7
14,14.0,52.0,15.0,16.0,2022-12-25,MIA,,GNB,"L, 20-26",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,13,26.0,0,0.0,2,7.7
15,15.0,53.0,16.0,17.0,2023-01-01,MIA,@,NWE,"L, 21-23",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,3,13,0,4.3,11,15.5,0,0.0,5,18.5
16,15.0,,17.0,18.0,2023-01-08,MIA,,NYJ,"W, 11-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,8-7,,18,12,136,11.3,0,66.7,7.6,1,8,0,8.0,0,0,0,0,0,1,6,13,97,0,7.5,237,25.5,0,0.0,40,9.9
