,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,84.0,1.0,1.0,2024-09-06,PHI,,GNB,"W, 34-29",*,5,4,31,7.8,0,80.0,6.2,0,0,0,0,0,0,0,0,0,62,81.6,0,0.0,0,0.0
1,2.0,85.0,2.0,2.0,2024-09-16,PHI,,ATL,"L, 21-22",*,4,3,38,12.7,0,75.0,9.5,0,0,0,0,0,0,0,0,0,69,97.2,0,0.0,0,0.0
2,3.0,86.0,3.0,3.0,2024-09-22,PHI,@,NOR,"W, 15-12",*,11,10,170,17.0,0,90.9,15.5,0,0,0,1,0,0,0,0,0,62,86.1,0,0.0,0,0.0
3,4.0,87.0,4.0,4.0,2024-09-29,PHI,@,TAM,"L, 16-33",*,8,7,62,8.9,0,87.5,7.8,0,0,0,0,0,0,0,0,0,36,63.2,0,0.0,0,0.0
4,5.0,88.0,5.0,6.0,2024-10-13,PHI,,CLE,"W, 20-16",*,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,4.8,0,0.0,0,0.0
5,5.0,,6.0,7.0,2024-10-20,PHI,@,NYG,"W, 28-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,8.0,2024-10-27,PHI,@,CIN,"W, 37-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,,8.0,9.0,2024-11-03,PHI,,JAX,"W, 28-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6.0,89.0,9.0,10.0,2024-11-10,PHI,@,DAL,"W, 34-6",*,3,2,25,12.5,1,66.7,8.3,0,0,0,0,0,0,0,0,0,43,63.2,0,0.0,0,0.0
9,7.0,90.0,10.0,11.0,2024-11-14,PHI,,WAS,"W, 26-18",*,5,5,61,12.2,0,100.0,12.2,0,0,0,1,0,0,0,0,0,63,88.7,0,0.0,1,3.7
10,8.0,91.0,11.0,12.0,2024-11-24,PHI,@,LAR,"W, 37-20",*,5,4,19,4.8,0,80.0,3.8,0,0,0,0,0,0,0,0,0,55,75.3,0,0.0,2,7.1
11,9.0,92.0,12.0,13.0,2024-12-01,PHI,@,BAL,"W, 24-19",*,4,3,35,11.7,1,75.0,8.8,0,0,0,0,0,0,0,0,0,40,71.4,0,0.0,0,0.0
12,9.0,,13.0,14.0,2024-12-08,PHI,,CAR,"W, 22-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,9.0,,14.0,15.0,2024-12-15,PHI,,PIT,"W, 27-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,9.0,,15.0,16.0,2024-12-22,PHI,@,WAS,"L, 33-36",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,9.0,,16.0,17.0,2024-12-29,PHI,,DAL,"W, 41-7",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,10.0,93.0,17.0,18.0,2025-01-05,PHI,,NYG,"W, 20-13",*,6,4,55,13.8,0,66.7,9.2,0,0,0,0,0,0,0,0,0,13,19.1,0,0.0,0,0.0
17,,,,,,,,,8-2,,52,42,496,11.8,2,80.8,9.5,0,0,0,2,0,0,0,0,0,446,66.2,0,0.0,3,1.1
