,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2019-09-08,PHI,,WAS,"W, 32-27",,3,2,16,8.0,0,66.7,5.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,55.4,0,0.0,9,31.0
1,1.0,,2.0,2.0,2019-09-15,PHI,@,ATL,"L, 20-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2.0,18.0,3.0,3.0,2019-09-22,PHI,,DET,"L, 24-27",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,12.2,0,0.0,2,6.7
3,3.0,19.0,4.0,4.0,2019-09-26,PHI,@,GNB,"W, 34-27",*,3,2,16,8.0,1,66.7,5.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,69.4,0,0.0,10,37.0
4,4.0,20.0,5.0,5.0,2019-10-06,PHI,,NYJ,"W, 31-6",,3,1,11,11.0,0,33.3,3.7,0,0,0,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,49,74.2,0,0.0,12,44.4
5,5.0,21.0,6.0,6.0,2019-10-13,PHI,@,MIN,"L, 20-38",*,8,5,48,9.6,0,62.5,6.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,70.3,0,0.0,15,51.7
6,6.0,22.0,7.0,7.0,2019-10-20,PHI,@,DAL,"L, 10-37",*,4,4,69,17.3,1,100.0,17.3,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,35,58.3,0,0.0,12,48.0
7,7.0,23.0,8.0,8.0,2019-10-27,PHI,@,BUF,"W, 31-13",,5,3,22,7.3,1,60.0,4.4,1,16,0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,75.3,0,0.0,11,42.3
8,8.0,24.0,9.0,9.0,2019-11-03,PHI,,CHI,"W, 22-14",*,5,4,39,9.8,0,80.0,7.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,78.6,0,0.0,13,44.8
9,9.0,25.0,10.0,11.0,2019-11-17,PHI,,NWE,"L, 10-17",*,6,3,36,12.0,1,50.0,6.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,80.6,0,0.0,15,51.7
10,10.0,26.0,11.0,12.0,2019-11-24,PHI,,SEA,"L, 9-17",*,8,7,32,4.6,0,87.5,4.0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,65,87.8,0,0.0,9,40.9
11,11.0,27.0,12.0,13.0,2019-12-01,PHI,@,MIA,"L, 31-37",*,7,6,66,11.0,0,85.7,9.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,56.5,0,0.0,9,29.0
12,12.0,28.0,13.0,14.0,2019-12-09,PHI,,NYG,"W, 23-17 (OT)",,6,3,41,13.7,0,50.0,6.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,68.2,0,0.0,12,36.4
13,13.0,29.0,14.0,15.0,2019-12-15,PHI,@,WAS,"W, 37-27",,6,5,55,11.0,0,83.3,9.2,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,84.4,0,0.0,5,17.2
14,14.0,30.0,15.0,16.0,2019-12-22,PHI,,DAL,"W, 17-9",*,12,9,91,10.1,1,75.0,7.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,91.7,0,0.0,9,33.3
15,15.0,31.0,16.0,17.0,2019-12-29,PHI,@,NYG,"W, 34-17",*,10,4,65,16.3,0,40.0,6.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
16,,,,,,,,,9-6,,87,58,607,10.5,5,66.7,7.0,1,16,0,16.0,0.0,2,2,0,0,0,0,2,2,0,0,0,0,770,71.1,0,0.0,143,33.5
