,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,23,PHI,NFL,TE,16,8,44,33,334,10.1,4,15,59.1,32,2.1,20.9,75.0,7.6,0,0,0,0,,,,0.0,0.0,33,10.1,334,4,0,2.0,
1,2019,24,PHI,NFL,TE,15,9,87,58,607,10.5,5,33,57.5,28,3.9,40.5,66.7,7.0,0,0,0,0,,,,0.0,0.0,58,10.5,607,5,2,5.0,
2,2020,25,PHI,NFL,TE,11,9,65,46,524,11.4,3,28,60.0,41,4.2,47.6,70.8,8.1,0,0,0,0,,,,0.0,0.0,46,11.4,524,3,0,4.0,
3,2021,26,PHI,NFL,TE,15,14,76,56,830,14.8,4,42,68.4,45,3.7,55.3,73.7,10.9,0,0,0,0,,,,0.0,0.0,56,14.8,830,4,1,9.0,
4,2022,27,PHI,NFL,TE,12,12,69,55,702,12.8,3,40,69.6,31,4.6,58.5,79.7,10.2,0,0,0,0,,,,0.0,0.0,55,12.8,702,3,1,7.0,
5,2023,28,PHI,NFL,TE,14,14,83,59,592,10.0,3,33,60.2,49,4.2,42.3,71.1,7.1,1,1,0,0,0.0,1.0,1.0,0.1,0.1,60,9.9,593,3,0,6.0,
6,2024,29,PHI,NFL,TE,10,10,52,42,496,11.8,2,20,55.8,61,4.2,49.6,80.8,9.5,0,0,0,0,,,,0.0,0.0,42,11.8,496,2,2,6.0,
7,2025,30,PHI,NFL,TE,2,2,9,8,77,9.6,1,3,66.7,33,4.0,38.5,88.9,8.6,0,0,0,0,,,,0.0,0.0,8,9.6,77,1,0,,
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,95,78,485,357,4162,11.7,25,214,61.9,61,3.8,43.8,73.6,8.6,1,1,0,0,0.0,1.0,1.0,0.0,0.0,358,11.6,4163,25,6,39.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,87,64,745,11.7,4,38,61.9,61,3.8,43.8,73.6,8.6,0,0,0,0,0.0,1.0,1.0,0.0,0.0,64,11.6,745,4,1,,
