,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,72.0,1.0,1.0,2021-09-12,CIN,,MIN,"W, 27-24 (OT)",,4,3,32,10.7,0,75.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,73.9,0,0.0,0,0.0
1,2.0,73.0,2.0,2.0,2021-09-19,CIN,@,CHI,"L, 17-20",*,9,7,73,10.4,0,77.8,8.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,87.3,0,0.0,0,0.0
2,3.0,74.0,3.0,3.0,2021-09-26,CIN,@,PIT,"W, 24-10",*,6,4,36,9.0,1,66.7,6.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,78.7,0,0.0,0,0.0
3,4.0,75.0,4.0,4.0,2021-09-30,CIN,,JAX,"W, 24-21",*,11,9,118,13.1,0,81.8,10.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,62.1,0,0.0,0,0.0
4,5.0,76.0,5.0,5.0,2021-10-10,CIN,,GNB,"L, 22-25 (OT)",*,5,4,24,6.0,0,80.0,4.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,82.1,0,0.0,0,0.0
5,6.0,77.0,6.0,6.0,2021-10-17,CIN,@,DET,"W, 34-11",,3,1,7,7.0,0,33.3,2.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,62.5,0,0.0,1,4.0
6,7.0,78.0,7.0,7.0,2021-10-24,CIN,@,BAL,"W, 41-17",*,7,4,39,9.8,0,57.1,5.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,71.4,0,0.0,0,0.0
7,8.0,79.0,8.0,8.0,2021-10-31,CIN,@,NYJ,"L, 31-34",*,8,5,69,13.8,1,62.5,8.6,0,0,0,,1,1,100.0,46,0,0,46.0,46.00,118.7,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,80.0,0,0.0,0,0.0
8,9.0,80.0,9.0,9.0,2021-11-07,CIN,,CLE,"L, 16-41",,2,1,11,11.0,0,50.0,5.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,78.7,0,0.0,0,0.0
9,10.0,81.0,10.0,11.0,2021-11-21,CIN,@,LVR,"W, 32-13",,8,6,49,8.2,0,75.0,6.1,1,14,0,14.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,70.3,0,0.0,0,0.0
