,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2021,27,CIN,NFL,WR,4,3,20,15,110,7.3,1,7,60.0,16,3.8,27.5,75.0,5.5,1,3,0,0,100.0,3.0,3.0,0.8,0.3,16,7.1,113,1,0,
1,2022,28,CIN,NFL,WR,3,3,7,6,89,14.8,0,5,85.7,24,2.0,29.7,85.7,12.7,0,0,0,0,,,,0.0,0.0,6,14.8,89,0,0,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,7,6,27,21,199,9.5,1,12,66.7,24,3.0,28.4,77.8,7.4,1,3,0,0,100.0,3.0,3.0,0.4,0.1,22,9.2,202,1,0,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,15,66,51,483,9.5,2,29,66.7,24,3.0,28.4,77.8,7.4,2,7,0,0,100.0,3.0,3.0,0.4,0.1,53,9.2,491,2,0,
