,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,21,MIN,NFL,RB,13.0,0.0,100.0,462.0,1.0,19.0,37.0,35.0,4.6,35.5,7.7,12.0,10.0,82.0,8.2,0.0,3.0,50.0,17.0,0.8,6.3,83.3,6.8,110.0,4.9,544.0,1.0,1.0,4.0,
1,2020,22,MIN,NFL,RB,13.0,2.0,96.0,434.0,2.0,24.0,44.8,25.0,4.5,33.4,7.4,15.0,13.0,125.0,9.6,1.0,5.0,66.7,28.0,1.0,9.6,86.7,8.3,109.0,5.1,559.0,3.0,0.0,4.0,
2,2021,23,MIN,NFL,RB,16.0,4.0,134.0,491.0,3.0,28.0,44.0,48.0,3.7,30.7,8.4,39.0,32.0,228.0,7.1,1.0,10.0,43.6,24.0,2.0,14.3,82.1,5.8,166.0,4.3,719.0,4.0,1.0,5.0,
3,2022,24,MIN,NFL,RB,17.0,0.0,74.0,283.0,5.0,21.0,47.3,15.0,3.8,16.6,4.4,18.0,15.0,91.0,6.1,1.0,4.0,33.3,16.0,0.9,5.4,83.3,5.1,89.0,4.2,374.0,6.0,0.0,2.0,
4,2023,25,MIN,NFL,RB,16.0,13.0,180.0,700.0,0.0,28.0,45.0,21.0,3.9,43.8,11.3,44.0,30.0,192.0,6.4,3.0,5.0,34.1,47.0,1.9,12.0,68.2,4.4,210.0,4.2,892.0,3.0,3.0,5.0,
5,2024,26,LVR,NFL,RB,14.0,7.0,132.0,420.0,4.0,25.0,35.6,24.0,3.2,30.0,9.4,48.0,36.0,294.0,8.2,1.0,13.0,35.4,31.0,2.6,21.0,75.0,6.1,168.0,4.3,714.0,5.0,1.0,4.0,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,89.0,26.0,716.0,2790.0,15.0,145.0,42.2,48.0,3.9,31.3,8.0,176.0,136.0,1012.0,7.4,7.0,40.0,40.3,47.0,1.5,11.4,77.3,5.8,852.0,4.5,3802.0,22.0,6.0,24.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,5.0,137.0,533.0,3.0,28.0,42.2,48.0,3.9,31.3,8.0,34.0,26.0,193.0,7.4,1.0,8.0,40.3,47.0,1.5,11.4,77.3,5.8,163.0,0.9,726.0,4.0,1.0,5.0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MIN (5 Yrs),MIN (5 Yrs),MIN (5 Yrs),MIN (5 Yrs),,75.0,19.0,584.0,2370.0,11.0,120.0,43.7,48.0,4.1,31.6,7.8,128.0,100.0,718.0,7.2,6.0,27.0,42.2,47.0,1.3,9.6,78.1,5.6,684.0,4.5,3088.0,17.0,5.0,20.0,
10,LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),,14.0,7.0,132.0,420.0,4.0,25.0,35.6,24.0,3.2,30.0,9.4,48.0,36.0,294.0,8.2,1.0,13.0,35.4,31.0,2.6,21.0,75.0,6.1,168.0,4.3,714.0,5.0,1.0,4.0,
