,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2012,23,IND,NFL,WR,1.0,0.0,13.0,8.0,66.0,8.3,0.0,1.0,46.2,25.0,8.0,66.0,61.5,5.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,8.0,8.3,66.0,0.0,0.0,
1,2013,24,IND,NFL,WR,2.0,2.0,24.0,17.0,327.0,19.2,2.0,14.0,66.7,64.0,8.5,163.5,70.8,13.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,17.0,19.2,327.0,2.0,0.0,
2,2014,25,IND,NFL,WR,3.0,3.0,28.0,11.0,211.0,19.2,0.0,10.0,39.3,36.0,3.7,70.3,39.3,7.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,12.0,17.7,212.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018,29,IND,NFL,WR,2.0,2.0,21.0,9.0,145.0,16.1,1.0,7.0,42.9,38.0,4.5,72.5,42.9,6.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,9.0,16.1,145.0,1.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020,31,IND,NFL,WR,1.0,1.0,5.0,2.0,32.0,16.0,0.0,1.0,40.0,23.0,2.0,32.0,40.0,6.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,16.0,32.0,0.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022,33,DAL,NFL,WR,2.0,0.0,5.0,3.0,38.0,12.7,0.0,2.0,60.0,15.0,1.5,19.0,60.0,7.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,12.7,38.0,0.0,0.0,
9,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,11.0,8.0,96.0,50.0,819.0,16.4,3.0,35.0,49.0,64.0,4.5,74.5,52.1,8.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,51.0,16.1,820.0,3.0,0.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,12.0,148.0,77.0,1266.0,16.4,5.0,54.0,49.0,64.0,4.5,74.5,52.1,8.5,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,79.0,16.1,1267.0,5.0,0.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IND (5 Yrs),IND (5 Yrs),IND (5 Yrs),IND (5 Yrs),,9.0,8.0,91.0,47.0,781.0,16.6,3.0,33.0,48.4,64.0,5.2,86.8,51.6,8.6,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,48.0,16.3,782.0,3.0,0.0,
13,DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,2.0,0.0,5.0,3.0,38.0,12.7,0.0,2.0,60.0,15.0,1.5,19.0,60.0,7.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,12.7,38.0,0.0,0.0,
