,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,95.0,1.0,1.0,2018-09-09,IND,,CIN,"L, 23-34",*,11,5,46,9.2,1,45.5,4.2,0,0,0,,80,97.6,0,0.0,0,0.0
1,2.0,96.0,2.0,2.0,2018-09-16,IND,@,WAS,"W, 21-9",*,11,7,83,11.9,1,63.6,7.5,0,0,0,,55,90.2,0,0.0,0,0.0
2,3.0,97.0,3.0,3.0,2018-09-23,IND,@,PHI,"L, 16-20",*,10,5,50,10.0,0,50.0,5.0,1,2,0,2.0,59,100.0,0,0.0,1,3.6
3,4.0,98.0,4.0,4.0,2018-09-30,IND,,HOU,"L, 34-37 (OT)",*,6,4,115,28.8,0,66.7,19.2,0,0,0,,43,47.3,0,0.0,0,0.0
4,4.0,,5.0,5.0,2018-10-04,IND,@,NWE,"L, 24-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,,6.0,6.0,2018-10-14,IND,@,NYJ,"L, 34-42",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,99.0,7.0,7.0,2018-10-21,IND,,BUF,"W, 37-5",*,4,4,25,6.3,2,100.0,6.3,0,0,0,,35,53.0,0,0.0,0,0.0
7,6.0,100.0,8.0,8.0,2018-10-28,IND,@,OAK,"W, 42-28",*,5,1,34,34.0,0,20.0,6.8,0,0,0,,64,82.1,0,0.0,0,0.0
8,7.0,101.0,9.0,10.0,2018-11-11,IND,,JAX,"W, 29-26",*,7,3,77,25.7,0,42.9,11.0,0,0,0,,42,76.4,0,0.0,0,0.0
9,8.0,102.0,10.0,11.0,2018-11-18,IND,,TEN,"W, 38-10",*,9,9,155,17.2,2,100.0,17.2,0,0,0,,42,67.7,0,0.0,0,0.0
10,9.0,103.0,11.0,12.0,2018-11-25,IND,,MIA,"W, 27-24",*,10,7,125,17.9,0,70.0,12.5,0,0,0,,60,87.0,0,0.0,0,0.0
11,10.0,104.0,12.0,13.0,2018-12-02,IND,@,JAX,"L, 0-6",*,13,8,77,9.6,0,61.5,5.9,0,0,0,,66,86.8,0,0.0,0,0.0
12,11.0,105.0,13.0,14.0,2018-12-09,IND,@,HOU,"W, 24-21",*,12,9,199,22.1,0,75.0,16.6,0,0,0,,54,80.6,0,0.0,0,0.0
13,12.0,106.0,14.0,15.0,2018-12-16,IND,,DAL,"W, 23-0",*,8,5,85,17.0,0,62.5,10.6,0,0,0,,41,56.9,0,0.0,0,0.0
14,13.0,107.0,15.0,16.0,2018-12-23,IND,,NYG,"W, 28-27",*,8,7,138,19.7,0,87.5,17.3,0,0,0,,58,86.6,0,0.0,0,0.0
15,14.0,108.0,16.0,17.0,2018-12-30,IND,@,TEN,"W, 33-17",*,6,2,61,30.5,0,33.3,10.2,0,0,0,,64,81.0,0,0.0,0,0.0
16,,,,,,,,,10-4,,120,76,1270,16.7,6,63.3,10.6,1,2,0,2.0,763,77.5,0,0.0,1,0.3
