,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,48.0,1.0,1.0,2016-09-11,PHI,,CLE,"W, 29-10",*,7,6,58,9.7,0,85.7,8.3,0,0,0,,60,77.9,0,0.0,9,31.0
1,1.0,,2.0,2.0,2016-09-19,PHI,@,CHI,"W, 29-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,,3.0,3.0,2016-09-25,PHI,,PIT,"W, 34-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,49.0,4.0,5.0,2016-10-09,PHI,@,DET,"L, 23-24",*,3,3,37,12.3,0,100.0,12.3,0,0,0,,52,85.2,0,0.0,10,41.7
4,3.0,50.0,5.0,6.0,2016-10-16,PHI,@,WAS,"L, 20-27",*,3,1,22,22.0,0,33.3,7.3,0,0,0,,46,88.5,0,0.0,10,33.3
5,4.0,51.0,6.0,7.0,2016-10-23,PHI,,MIN,"W, 21-10",*,3,1,14,14.0,0,33.3,4.7,0,0,0,,48,82.8,0,0.0,7,30.4
6,5.0,52.0,7.0,8.0,2016-10-30,PHI,@,DAL,"L, 23-29 (OT)",*,4,4,19,4.8,0,100.0,4.8,0,0,0,,61,80.3,0,0.0,12,34.3
7,6.0,53.0,8.0,9.0,2016-11-06,PHI,@,NYG,"L, 23-28",*,8,8,97,12.1,0,100.0,12.1,0,0,0,,62,82.7,0,0.0,11,35.5
8,7.0,54.0,9.0,10.0,2016-11-13,PHI,,ATL,"W, 24-15",*,7,6,55,9.2,0,85.7,7.9,0,0,0,,59,74.7,0,0.0,11,39.3
9,8.0,55.0,10.0,11.0,2016-11-20,PHI,@,SEA,"L, 15-26",*,11,6,35,5.8,1,54.5,3.2,0,0,0,,70,87.5,0,0.0,7,24.1
10,9.0,56.0,11.0,12.0,2016-11-28,PHI,,GNB,"L, 13-27",*,6,3,36,12.0,0,50.0,6.0,0,0,0,,55,93.2,0,0.0,9,40.9
11,10.0,57.0,12.0,13.0,2016-12-04,PHI,@,CIN,"L, 14-32",,15,9,79,8.8,1,60.0,5.3,1,8,0,8.0,70,87.5,0,0.0,10,40.0
12,11.0,58.0,13.0,14.0,2016-12-11,PHI,,WAS,"L, 22-27",*,13,10,112,11.2,0,76.9,8.6,0,0,0,,67,85.9,0,0.0,12,48.0
13,12.0,59.0,14.0,15.0,2016-12-18,PHI,@,BAL,"L, 26-27",*,8,6,80,13.3,0,75.0,10.0,0,0,0,,81,93.1,0,0.0,10,35.7
14,13.0,60.0,15.0,16.0,2016-12-22,PHI,,NYG,"W, 24-19",*,2,2,33,16.5,0,100.0,16.5,0,0,0,,48,85.7,0,0.0,10,35.7
15,14.0,61.0,16.0,17.0,2017-01-01,PHI,,DAL,"W, 27-13",,16,13,139,10.7,2,81.3,8.7,0,0,0,,70,92.1,0,0.0,9,32.1
16,,,,,,,,,5-9,,106,78,816,10.5,4,73.6,7.7,1,8,0,8.0,849,85.4,0,0.0,137,35.6
