,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2013-09-09,PHI,@,WAS,"W, 33-27",,3,1,11,11.0,0,33.3,3.7,0,0,0,,24,30.0,0,0.0,11,35.5
1,2.0,2.0,2.0,2.0,2013-09-15,PHI,,SDG,"L, 30-33",,2,2,58,29.0,0,100.0,29.0,1,0,0,0.0,12,20.3,0,0.0,16,47.1
2,3.0,3.0,3.0,3.0,2013-09-19,PHI,,KAN,"L, 16-26",,1,1,5,5.0,0,100.0,5.0,0,0,0,,14,21.5,0,0.0,11,35.5
3,4.0,4.0,4.0,4.0,2013-09-29,PHI,@,DEN,"L, 20-52",*,2,1,38,38.0,0,50.0,19.0,0,0,0,,31,43.7,0,0.0,14,41.2
4,5.0,5.0,5.0,5.0,2013-10-06,PHI,@,NYG,"W, 36-21",,3,2,38,19.0,0,66.7,12.7,0,0,0,,33,40.7,0,0.0,12,32.4
5,6.0,6.0,6.0,6.0,2013-10-13,PHI,@,TAM,"W, 31-20",,6,3,13,4.3,0,50.0,2.2,0,0,0,,42,61.8,0,0.0,10,33.3
6,7.0,7.0,7.0,7.0,2013-10-20,PHI,,DAL,"L, 3-17",,5,3,33,11.0,0,60.0,6.6,0,0,0,,23,28.8,0,0.0,10,34.5
7,8.0,8.0,8.0,8.0,2013-10-27,PHI,,NYG,"L, 7-15",,4,1,5,5.0,0,25.0,1.3,0,0,0,,27,44.3,0,0.0,7,26.9
8,9.0,9.0,9.0,9.0,2013-11-03,PHI,@,OAK,"W, 49-20",,6,5,42,8.4,1,83.3,7.0,0,0,0,,35,59.3,0,0.0,12,30.8
9,10.0,10.0,10.0,10.0,2013-11-10,PHI,@,GNB,"W, 27-13",,0,0,0,,0,,,0,0,0,,33,54.1,0,0.0,11,44.0
10,11.0,11.0,11.0,11.0,2013-11-17,PHI,,WAS,"W, 24-16",,3,2,31,15.5,0,66.7,10.3,0,0,0,,30,45.5,0,0.0,7,29.2
11,12.0,12.0,12.0,13.0,2013-12-01,PHI,,ARI,"W, 24-21",,6,5,68,13.6,2,83.3,11.3,0,0,0,,37,48.1,0,0.0,8,28.6
12,13.0,13.0,13.0,14.0,2013-12-08,PHI,,DET,"W, 34-20",*,1,0,0,,0,0.0,0.0,0,0,0,,27,36.0,0,0.0,4,17.4
13,14.0,14.0,14.0,15.0,2013-12-15,PHI,@,MIN,"L, 30-48",,9,6,57,9.5,1,66.7,6.3,0,0,0,,45,65.2,0,0.0,13,37.1
14,15.0,15.0,15.0,16.0,2013-12-22,PHI,,CHI,"W, 54-11",*,1,1,27,27.0,0,100.0,27.0,0,0,0,,15,23.4,0,0.0,11,37.9
15,16.0,16.0,16.0,17.0,2013-12-29,PHI,@,DAL,"W, 24-22",,5,3,43,14.3,0,60.0,8.6,0,0,0,,22,32.8,0,0.0,10,37.0
16,,,,,,,,,10-6,,57,36,469,13.0,4,63.2,8.2,1,0,0,0.0,450,40.8,0,0.0,167,34.6
