,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,117.0,1.0,1.0,2022-09-11,LVR,@,LAC,"L, 19-24",*,17,10,141,14.1,1,58.8,8.3,0,0,0,,0,0,0,0,0,1,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,94.8,0,0.0,0,0.0
1,2.0,118.0,2.0,2.0,2022-09-18,LVR,,ARI,"L, 23-29 (OT)",*,7,2,12,6.0,1,28.6,1.7,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,97.0,0,0.0,0,0.0
2,3.0,119.0,3.0,3.0,2022-09-25,LVR,@,TEN,"L, 22-24",*,10,5,36,7.2,1,50.0,3.6,1,-4,0,-4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
3,4.0,120.0,4.0,4.0,2022-10-02,LVR,,DEN,"W, 32-23",*,13,9,101,11.2,0,69.2,7.8,1,4,0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,94.7,0,0.0,0,0.0
4,5.0,121.0,5.0,5.0,2022-10-10,LVR,@,KAN,"L, 29-30",*,7,3,124,41.3,2,42.9,17.7,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,64,100.0,0,0.0,0,0.0
5,6.0,122.0,6.0,7.0,2022-10-23,LVR,,HOU,"W, 38-20",*,9,8,95,11.9,0,88.9,10.6,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,96.4,0,0.0,0,0.0
6,7.0,123.0,7.0,8.0,2022-10-30,LVR,@,NOR,"L, 0-24",*,5,1,3,3.0,0,20.0,0.6,1,-1,0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,72.4,0,0.0,0,0.0
7,8.0,124.0,8.0,9.0,2022-11-06,LVR,@,JAX,"L, 20-27",*,17,10,146,14.6,2,58.8,8.6,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,94.9,0,0.0,0,0.0
8,9.0,125.0,9.0,10.0,2022-11-13,LVR,,IND,"L, 20-25",*,14,9,126,14.0,1,64.3,9.0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,92.9,0,0.0,0,0.0
9,10.0,126.0,10.0,11.0,2022-11-20,LVR,@,DEN,"W, 22-16 (OT)",*,13,7,141,20.1,2,53.8,10.8,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,98.5,0,0.0,0,0.0
10,11.0,127.0,11.0,12.0,2022-11-27,LVR,@,SEA,"W, 40-34 (OT)",*,11,7,74,10.6,0,63.6,6.7,0,0,0,,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
11,12.0,128.0,12.0,13.0,2022-12-04,LVR,,LAC,"W, 27-20",*,12,8,177,22.1,2,66.7,14.8,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,96.7,0,0.0,0,0.0
12,13.0,129.0,13.0,14.0,2022-12-08,LVR,@,LAR,"L, 16-17",*,7,3,71,23.7,0,42.9,10.1,0,0,0,,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,58,96.7,0,0.0,1,4.0
13,14.0,130.0,14.0,15.0,2022-12-18,LVR,,NWE,"W, 30-24",*,9,4,28,7.0,0,44.4,3.1,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,98.5,0,0.0,0,0.0
14,15.0,131.0,15.0,16.0,2022-12-24,LVR,@,PIT,"L, 10-13",*,9,2,15,7.5,0,22.2,1.7,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,96.2,0,0.0,0,0.0
15,16.0,132.0,16.0,17.0,2023-01-01,LVR,,SFO,"L, 34-37 (OT)",*,11,7,153,21.9,2,63.6,13.9,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,88.6,0,0.0,0,0.0
16,17.0,133.0,17.0,18.0,2023-01-07,LVR,,KAN,"L, 13-31",*,9,5,73,14.6,0,55.6,8.1,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,63,90.0,0,0.0,0,0.0
17,,,,,,,,,6-11,,180,100,1516,15.2,14,55.6,8.4,3,-1,0,-0.3,0,0,0,0,0,1,10,0.0,2,1,1,0,0,0,1,0,0,1,0,0,1044,94.7,0,0.0,1,0.2
