,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,72.0,1.0,1.0,2024-09-09,NYJ,@,SFO,"L, 19-32",*,9,6,89,14.8,2,66.7,9.9,0,0,,0,0,0,,,,0,0,51,100.0,0,0.0,0,0.0
1,2.0,73.0,2.0,2.0,2024-09-15,NYJ,@,TEN,"W, 24-17",*,4,2,11,5.5,0,50.0,2.8,0,0,,0,0,0,,,,0,0,47,82.5,0,0.0,0,0.0
2,3.0,74.0,3.0,3.0,2024-09-19,NYJ,,NWE,"W, 24-3",*,3,3,48,16.0,1,100.0,16.0,0,0,,0,0,0,,,,0,0,61,83.6,0,0.0,0,0.0
3,4.0,75.0,4.0,4.0,2024-09-29,NYJ,,DEN,"L, 9-10",*,8,5,58,11.6,0,62.5,7.3,0,0,,0,0,0,,,,0,0,65,87.8,0,0.0,0,0.0
4,5.0,76.0,5.0,5.0,2024-10-06,NYJ,@,MIN,"L, 17-23",*,9,4,34,8.5,1,44.4,3.8,0,0,,0,0,0,,,,0,0,72,100.0,0,0.0,0,0.0
5,6.0,77.0,6.0,6.0,2024-10-14,NYJ,,BUF,"L, 20-23",*,7,6,114,19.0,1,85.7,16.3,0,0,,0,0,0,,,,0,0,59,93.7,0,0.0,0,0.0
6,7.0,78.0,7.0,7.0,2024-10-20,NYJ,@,PIT,"L, 15-37",*,4,4,58,14.5,0,100.0,14.5,0,0,,0,0,0,,,,0,0,33,57.9,0,0.0,0,0.0
7,7.0,,8.0,8.0,2024-10-27,NYJ,@,NWE,"L, 22-25",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,,9.0,9.0,2024-10-31,NYJ,,HOU,"W, 21-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,7.0,,10.0,10.0,2024-11-10,NYJ,@,ARI,"L, 6-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7.0,,11.0,11.0,2024-11-17,NYJ,,IND,"L, 27-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,7.0,,12.0,13.0,2024-12-01,NYJ,,SEA,"L, 21-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8.0,79.0,13.0,14.0,2024-12-08,NYJ,@,MIA,"L, 26-32 (OT)",*,1,1,18,18.0,0,100.0,18.0,0,0,,0,0,0,,,,0,0,53,77.9,0,0.0,1,3.2
13,9.0,80.0,14.0,15.0,2024-12-15,NYJ,@,JAX,"W, 32-25",*,4,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,46,79.3,0,0.0,0,0.0
14,10.0,81.0,15.0,16.0,2024-12-22,NYJ,,LAR,"L, 9-19",,5,2,20,10.0,0,40.0,4.0,0,0,,0,0,0,,,,0,0,51,73.9,0,0.0,0,0.0
15,11.0,82.0,16.0,17.0,2024-12-29,NYJ,@,BUF,"L, 14-40",,3,1,9,9.0,0,33.3,3.0,0,0,,0,0,0,,,,0,0,54,85.7,0,0.0,0,0.0
16,12.0,83.0,17.0,18.0,2025-01-05,NYJ,,MIA,"W, 32-20",*,3,3,71,23.7,1,100.0,23.7,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,57,89.1,0,0.0,0,0.0
17,,,,,,,,,4-8,,60,37,530,14.3,6,61.7,8.8,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,649,84.4,0,0.0,1,0.3
