,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,GNB,@,MIN,"L, 7-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,43.0,2.0,2.0,2022-09-18,GNB,,CHI,"W, 27-10",*,3,2,13,6.5,1,66.7,4.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,55,80.9,0,0.0,0,0.0
2,2.0,44.0,3.0,3.0,2022-09-25,GNB,@,TAM,"W, 14-12",*,6,4,45,11.3,1,66.7,7.5,0,0,0,,1,0,0,0.0,0.0,1,1,0,0,0,0,56,90.3,0,0.0,1,4.0
3,3.0,45.0,4.0,4.0,2022-10-02,GNB,,NWE,"W, 27-24 (OT)",*,8,6,116,19.3,0,75.0,14.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,70,95.9,0,0.0,0,0.0
4,4.0,46.0,5.0,5.0,2022-10-09,GNB,,NYG,"L, 22-27",*,8,4,35,8.8,1,50.0,4.4,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,59,93.7,0,0.0,0,0.0
5,5.0,47.0,6.0,6.0,2022-10-16,GNB,,NYJ,"L, 10-27",*,9,4,76,19.0,1,44.4,8.4,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,71,97.3,0,0.0,0,0.0
6,6.0,48.0,7.0,7.0,2022-10-23,GNB,@,WAS,"L, 21-23",*,7,6,55,9.2,0,85.7,7.9,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,32,59.3,0,0.0,0,0.0
7,6.0,,8.0,8.0,2022-10-30,GNB,@,BUF,"L, 17-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,49.0,9.0,9.0,2022-11-06,GNB,@,DET,"L, 9-15",*,10,4,87,21.8,1,40.0,8.7,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,65,87.8,0,0.0,0,0.0
9,8.0,50.0,10.0,10.0,2022-11-13,GNB,,DAL,"W, 31-28 (OT)",*,4,3,45,15.0,0,75.0,11.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,63,98.4,0,0.0,0,0.0
10,9.0,51.0,11.0,11.0,2022-11-17,GNB,,TEN,"L, 17-27",*,11,5,57,11.4,0,45.5,5.2,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,56,91.8,0,0.0,0,0.0
11,10.0,52.0,12.0,12.0,2022-11-27,GNB,@,PHI,"L, 33-40",*,3,2,24,12.0,0,66.7,8.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,49,100.0,0,0.0,0,0.0
12,11.0,53.0,13.0,13.0,2022-12-04,GNB,@,CHI,"W, 28-19",*,6,5,67,13.4,0,83.3,11.2,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,62,93.9,0,0.0,0,0.0
13,12.0,54.0,14.0,15.0,2022-12-19,GNB,,LAR,"W, 24-12",*,2,1,7,7.0,0,50.0,3.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,67,94.4,0,0.0,0,0.0
14,13.0,55.0,15.0,16.0,2022-12-25,GNB,@,MIA,"W, 26-20",*,11,5,61,12.2,0,45.5,5.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,59,89.4,0,0.0,0,0.0
15,14.0,56.0,16.0,17.0,2023-01-01,GNB,,MIN,"W, 41-17",*,6,5,59,11.8,0,83.3,9.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,45,71.4,0,0.0,2,7.1
16,15.0,57.0,17.0,18.0,2023-01-08,GNB,,DET,"L, 16-20",*,6,4,41,10.3,1,66.7,6.8,2,0,0,0.0,0,0,0,,0.0,1,1,0,0,0,0,54,90.0,0,0.0,0,0.0
17,,,,,,,,,8-7,,100,60,788,13.1,6,60.0,7.9,2,0,0,0.0,1,0,0,0.0,0.0,2,2,0,0,0,0,863,89.2,0,0.0,3,0.8
