,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,MIA,@,LAC,"W, 36-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2023-09-17,MIA,@,NWE,"W, 24-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2023-09-24,MIA,,DEN,"W, 70-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2023-10-01,MIA,@,BUF,"L, 20-48",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,,5.0,5.0,2023-10-08,MIA,,NYG,"W, 31-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,,6.0,6.0,2023-10-15,MIA,,CAR,"W, 42-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1.0,54.0,7.0,7.0,2023-10-22,MIA,@,PHI,"L, 17-31",,0,0,0,,1,1,4,4.0,0,100.0,4.0,7,14.3,0,0.0,6,27.3
7,2.0,55.0,8.0,8.0,2023-10-29,MIA,,NWE,"W, 31-17",,5,23,0,4.6,2,2,14,7.0,0,100.0,7.0,19,24.7,0,0.0,0,0.0
8,3.0,56.0,9.0,9.0,2023-11-05,MIA,@,KAN,"L, 14-21",,2,6,0,3.0,4,3,32,10.7,0,75.0,8.0,11,17.5,0,0.0,0,0.0
9,3.0,,10.0,11.0,2023-11-19,MIA,,LVR,"W, 20-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,4.0,57.0,11.0,12.0,2023-11-24,MIA,@,NYJ,"W, 34-13",,11,56,0,5.1,3,3,17,5.7,0,100.0,5.7,23,32.9,0,0.0,2,8.3
11,5.0,58.0,12.0,13.0,2023-12-03,MIA,@,WAS,"W, 45-15",,4,11,0,2.8,0,0,0,,0,,,5,8.2,0,0.0,3,10.7
12,6.0,59.0,13.0,14.0,2023-12-11,MIA,,TEN,"L, 27-28",,0,0,0,,0,0,0,,0,,,1,1.4,0,0.0,0,0.0
13,7.0,60.0,14.0,15.0,2023-12-17,MIA,,NYJ,"W, 30-0",,2,5,0,2.5,2,1,1,1.0,0,50.0,0.5,8,13.1,0,0.0,0,0.0
14,8.0,61.0,15.0,16.0,2023-12-24,MIA,,DAL,"W, 22-20",,5,21,0,4.2,1,1,4,4.0,0,100.0,4.0,15,23.1,0,0.0,0,0.0
15,9.0,62.0,16.0,17.0,2023-12-31,MIA,@,BAL,"L, 19-56",,3,21,0,7.0,4,3,13,4.3,0,75.0,3.3,34,49.3,0,0.0,0,0.0
16,10.0,63.0,17.0,18.0,2024-01-07,MIA,,BUF,"L, 14-21",,9,45,0,5.0,0,0,0,,0,,,25,48.1,0,0.0,4,22.2
17,,,,,,,,,5-5,,41,188,0,4.6,17,14,85,6.1,0,82.4,5.0,148,23.2,0,0.0,15,5.9
