,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,65.0,1.0,1.0,2016-09-11,SEA,,MIA,"W, 12-10",*,27,43,62.8,258,1,1,6.0,5.42,77.5,3,18,4,16,0,4.0,0,0,0,,0,,,1,1,0,0,-6,0,82,100.0,0,0.0,0,0.0
1,2.0,66.0,2.0,2.0,2016-09-18,SEA,@,LAR,"L, 3-9",*,22,35,62.9,254,0,0,7.3,7.26,84.7,2,15,5,14,0,2.8,0,0,0,,0,,,1,0,0,0,0,0,67,100.0,0,0.0,0,0.0
2,3.0,67.0,3.0,3.0,2016-09-25,SEA,,SFO,"W, 37-18",*,15,23,65.2,243,1,0,10.6,11.43,114.9,2,17,1,3,0,3.0,0,0,0,,0,,,0,0,0,0,0,0,47,67.1,0,0.0,0,0.0
3,4.0,68.0,4.0,4.0,2016-10-02,SEA,@,NYJ,"W, 27-17",*,23,32,71.9,309,3,0,9.7,11.53,133.5,2,21,5,-5,0,-1.0,0,0,0,,0,,,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
4,5.0,69.0,5.0,6.0,2016-10-16,SEA,,ATL,"W, 26-24",*,25,37,67.6,270,0,0,7.3,7.3,88.8,1,9,6,7,0,1.2,0,0,0,,0,,,1,0,0,0,0,0,66,100.0,0,0.0,0,0.0
5,6.0,70.0,6.0,7.0,2016-10-23,SEA,@,ARI,"T, 6-6 (OT)",*,24,37,64.9,225,0,0,6.1,6.08,81.5,1,20,1,-2,0,-2.0,1,1,-1,-1.0,0,100.0,-1.0,2,0,0,1,0,0,63,100.0,0,0.0,0,0.0
6,7.0,71.0,7.0,8.0,2016-10-30,SEA,@,NOR,"L, 20-25",*,22,34,64.7,253,0,1,7.4,6.12,74.8,1,11,3,11,0,3.7,0,0,0,,0,,,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
7,8.0,72.0,8.0,9.0,2016-11-07,SEA,,BUF,"W, 31-25",*,20,26,76.9,282,2,0,10.8,12.38,137.0,4,37,3,10,1,3.3,0,0,0,,0,,,0,0,0,0,0,0,47,100.0,0,0.0,0,0.0
8,9.0,73.0,9.0,10.0,2016-11-13,SEA,@,NWE,"W, 31-24",*,25,37,67.6,348,3,0,9.4,11.03,124.6,3,24,3,6,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
9,10.0,74.0,10.0,11.0,2016-11-20,SEA,,PHI,"W, 26-15",*,18,31,58.1,272,1,0,8.8,9.42,97.8,1,0,8,19,0,2.4,1,1,15,15.0,1,100.0,15.0,0,0,0,1,0,0,67,100.0,0,0.0,0,0.0
10,11.0,75.0,11.0,12.0,2016-11-27,SEA,@,TAM,"L, 5-14",*,17,33,51.5,151,0,2,4.6,1.85,38.8,6,33,8,80,0,10.0,0,0,0,,0,,,1,0,0,1,0,0,63,100.0,0,0.0,0,0.0
11,12.0,76.0,12.0,13.0,2016-12-04,SEA,,CAR,"W, 40-7",*,26,36,72.2,277,1,1,7.7,7.0,92.0,3,21,3,29,0,9.7,0,0,0,,0,,,0,0,0,0,0,0,61,85.9,0,0.0,0,0.0
12,13.0,77.0,13.0,14.0,2016-12-11,SEA,@,GNB,"L, 10-38",*,22,39,56.4,240,1,5,6.2,0.9,43.7,3,22,4,19,0,4.8,0,0,0,,0,,,0,0,0,0,0,0,68,95.8,0,0.0,0,0.0
13,14.0,78.0,14.0,15.0,2016-12-15,SEA,,LAR,"W, 24-3",*,19,26,73.1,229,3,1,8.8,9.38,122.1,2,2,6,12,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
14,15.0,79.0,15.0,16.0,2016-12-24,SEA,,ARI,"L, 31-34",*,29,45,64.4,350,4,0,7.8,9.56,117.8,6,37,10,36,0,3.6,0,0,0,,0,,,1,1,0,0,-1,0,83,100.0,0,0.0,0,0.0
15,16.0,80.0,16.0,17.0,2017-01-01,SEA,@,SFO,"W, 25-23",*,19,32,59.4,258,1,0,8.1,8.69,95.6,1,6,2,4,0,2.0,0,0,0,,0,,,1,0,0,1,0,0,49,76.6,0,0.0,0,0.0
16,,,,,,,,,10-5-1,,353,546,64.7,4219,21,11,7.7,7.59,92.6,41,293,72,259,1,3.6,2,2,14,7.0,1,100.0,7.0,8,2,0,4,-7,0,1008,95.2,0,0.0,0,0.0
