,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2012,24,SEA,NFL,QB,16.0,16.0,11-5-0,252.0,393.0,64.1,3118.0,26.0,6.6,10.0,2.5,153.0,48.1,67.0,7.9,8.11,12.4,194.9,100.0,72.7,33.0,203.0,7.75,6.84,7.01,3.0,4.0,16.0,"PB,AP ORoY-3"
1,2013,25,SEA,NFL,QB,16.0,16.0,13-3-0,257.0,407.0,63.1,3357.0,26.0,6.4,9.0,2.2,157.0,44.8,80.0,8.2,8.53,13.1,209.8,101.2,67.2,44.0,272.0,9.76,6.84,7.1,3.0,4.0,17.0,"PB,AP OPoY-4"
2,2014,26,SEA,NFL,QB,16.0,16.0,12-4-0,285.0,452.0,63.1,3475.0,20.0,4.4,7.0,1.5,161.0,42.5,80.0,7.7,7.88,12.2,217.2,95.0,69.7,42.0,242.0,8.5,6.54,6.72,1.0,4.0,19.0,PB
3,2015,27,SEA,NFL,QB,16.0,16.0,10-6-0,329.0,483.0,68.1,4024.0,34.0,7.0,8.0,1.7,190.0,50.8,80.0,8.3,8.99,12.2,251.5,110.1,68.6,45.0,265.0,8.52,7.12,7.73,2.0,2.0,19.0,"PB,AP OPoY-3"
4,2016,28,SEA,NFL,QB,16.0,16.0,10-5-1,353.0,546.0,64.7,4219.0,21.0,3.8,11.0,2.0,193.0,47.2,59.0,7.7,7.59,12.0,263.7,92.6,57.1,41.0,293.0,6.98,6.69,6.56,4.0,3.0,14.0,
5,2017,29,SEA,NFL,QB,16.0,16.0,9-7-0,339.0,553.0,61.3,3983.0,34.0,6.1,11.0,2.0,189.0,43.8,74.0,7.2,7.54,11.7,248.9,95.4,62.4,43.0,322.0,7.21,6.14,6.45,2.0,2.0,15.0,PB
6,2018,30,SEA,NFL,QB,16.0,16.0,10-6-0,280.0,427.0,65.6,3448.0,35.0,8.2,7.0,1.6,156.0,44.1,66.0,8.1,8.98,12.3,215.5,110.9,63.3,51.0,355.0,10.67,6.47,7.28,2.0,4.0,14.0,PB
7,2019,31,SEA,NFL,QB,16.0,16.0,11-5-0,341.0,516.0,66.1,4110.0,31.0,6.0,5.0,1.0,190.0,49.6,60.0,8.0,8.73,12.1,256.9,106.3,71.5,48.0,319.0,8.51,6.72,7.42,4.0,5.0,15.0,"PB,AP-2,AP OPoY-4"
8,2020,32,SEA,NFL,QB,16.0,16.0,12-4-0,384.0,558.0,68.8,4212.0,40.0,7.2,13.0,2.3,213.0,51.4,62.0,7.5,7.93,11.0,263.3,105.1,67.1,47.0,301.0,7.77,6.46,6.82,3.0,3.0,17.0,PB
9,2021,33,SEA,NFL,QB,14.0,14.0,6-8-0,259.0,400.0,64.8,3113.0,25.0,6.3,6.0,1.5,135.0,44.6,69.0,7.8,8.36,12.0,222.4,103.1,60.6,33.0,266.0,7.62,6.58,7.11,0.0,1.0,12.0,PB
10,2022,34,DEN,NFL,QB,15.0,15.0,4-11-0,292.0,483.0,60.5,3524.0,16.0,3.3,11.0,2.3,142.0,36.2,67.0,7.3,6.93,12.1,234.9,84.4,38.7,55.0,368.0,10.22,5.87,5.54,3.0,3.0,9.0,
11,2023,35,DEN,NFL,QB,15.0,15.0,7-8-0,297.0,447.0,66.4,3070.0,26.0,5.8,8.0,1.8,135.0,43.3,60.0,6.9,7.23,10.3,204.7,98.0,50.7,45.0,258.0,9.15,5.72,6.04,4.0,4.0,12.0,
12,2024,36,PIT,NFL,QB,11.0,11.0,6-5-0,214.0,336.0,63.7,2482.0,16.0,4.8,5.0,1.5,112.0,43.6,46.0,7.4,7.67,11.6,225.6,95.6,51.3,33.0,219.0,8.94,6.13,6.39,1.0,1.0,9.0,"PB,AP CPoY-14"
13,13 Yrs,13 Yrs,13 Yrs,13 Yrs,,199.0,199.0,121-77-1,3882.0,6001.0,64.7,46135.0,350.0,5.8,111.0,1.8,2126.0,45.5,80.0,7.7,8.02,11.9,231.8,99.8,,560.0,3683.0,8.54,6.47,6.78,32.0,40.0,188.0,
14,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,121-77-1,332.0,513.0,64.7,3941.0,30.0,5.8,9.0,1.8,182.0,45.5,80.0,7.7,8.02,11.9,231.8,99.8,,48.0,315.0,8.54,6.47,6.78,3.0,3.0,16.0,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SEA (10 Yrs),SEA (10 Yrs),SEA (10 Yrs),SEA (10 Yrs),,158.0,158.0,104-53-1,3079.0,4735.0,65.0,37059.0,292.0,6.2,87.0,1.8,1737.0,46.8,80.0,7.8,8.23,12.0,234.6,101.8,,427.0,2838.0,8.27,6.63,7.0,24.0,32.0,158.0,
17,DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),,30.0,30.0,11-19-0,589.0,930.0,63.3,6594.0,42.0,4.5,19.0,2.0,277.0,39.6,67.0,7.1,7.07,11.2,219.8,90.9,,100.0,626.0,9.71,5.79,5.78,7.0,7.0,21.0,
18,PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),,11.0,11.0,6-5-0,214.0,336.0,63.7,2482.0,16.0,4.8,5.0,1.5,112.0,43.6,46.0,7.4,7.67,11.6,225.6,95.6,,33.0,219.0,8.94,6.13,6.39,1.0,1.0,9.0,
