,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,89.0,1.0,1.0,2022-09-11,TEN,,NYG,"L, 20-21",,2,1,6,6.0,0,50.0,3.0,0,0,0,,0.0,0,0,0,0,0,0,40,61.5,0,0.0,0,0.0
1,2.0,90.0,2.0,2.0,2022-09-19,TEN,@,BUF,"L, 7-41",,5,1,19,19.0,0,20.0,3.8,0,0,0,,0.0,0,0,0,0,0,0,28,50.0,0,0.0,0,0.0
2,3.0,91.0,3.0,3.0,2022-09-25,TEN,,LVR,"W, 24-22",,2,2,19,9.5,0,100.0,9.5,1,0,0,0.0,0.0,1,1,0,0,0,0,24,41.4,0,0.0,2,8.3
3,4.0,92.0,4.0,4.0,2022-10-02,TEN,@,IND,"W, 24-17",,1,1,4,4.0,0,100.0,4.0,0,0,0,,0.0,0,0,0,0,0,0,20,37.0,0,0.0,0,0.0
4,5.0,93.0,5.0,5.0,2022-10-09,TEN,@,WAS,"W, 21-17",,1,1,7,7.0,0,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,34,53.1,0,0.0,0,0.0
5,6.0,94.0,6.0,7.0,2022-10-23,TEN,,IND,"W, 19-10",,3,3,56,18.7,0,100.0,18.7,0,0,0,,0.0,0,0,0,0,0,0,26,44.1,0,0.0,0,0.0
6,7.0,95.0,7.0,8.0,2022-10-30,TEN,@,HOU,"W, 17-10",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0.0,0,0,0,0,0,0,27,46.6,0,0.0,1,3.7
7,8.0,96.0,8.0,9.0,2022-11-06,TEN,@,KAN,"L, 17-20 (OT)",*,3,2,34,17.0,0,66.7,11.3,0,0,0,,0.0,0,0,0,0,0,0,31,60.8,0,0.0,0,0.0
8,9.0,97.0,9.0,10.0,2022-11-13,TEN,,DEN,"W, 17-10",,7,5,41,8.2,0,71.4,5.9,0,0,0,,0.0,0,0,0,0,0,0,38,61.3,0,0.0,0,0.0
9,10.0,98.0,10.0,11.0,2022-11-17,TEN,@,GNB,"W, 27-17",,4,4,36,9.0,2,100.0,9.0,0,0,0,,0.0,0,0,0,0,0,0,30,45.5,0,0.0,0,0.0
10,11.0,99.0,11.0,12.0,2022-11-27,TEN,,CIN,"L, 16-20",,4,3,30,10.0,0,75.0,7.5,0,0,0,,0.0,0,0,0,0,0,0,38,66.7,0,0.0,0,0.0
11,12.0,100.0,12.0,13.0,2022-12-04,TEN,@,PHI,"L, 10-35",*,5,3,22,7.3,0,60.0,4.4,0,0,0,,0.0,0,0,0,0,0,0,27,49.1,0,0.0,0,0.0
12,13.0,101.0,13.0,14.0,2022-12-11,TEN,,JAX,"L, 22-36",,5,5,68,13.6,0,100.0,13.6,0,0,0,,0.0,0,0,0,0,0,0,36,53.7,0,0.0,0,0.0
13,14.0,102.0,14.0,15.0,2022-12-18,TEN,@,LAC,"L, 14-17",,4,2,33,16.5,0,50.0,8.3,0,0,0,,0.0,0,0,0,0,0,0,30,48.4,0,0.0,0,0.0
14,15.0,103.0,15.0,16.0,2022-12-24,TEN,,HOU,"L, 14-19",,3,2,20,10.0,0,66.7,6.7,0,0,0,,0.0,0,0,0,0,0,0,30,49.2,0,0.0,0,0.0
15,16.0,104.0,16.0,17.0,2022-12-29,TEN,,DAL,"L, 13-27",,6,1,6,6.0,0,16.7,1.0,0,0,0,,0.0,0,0,0,0,0,0,32,49.2,0,0.0,6,24.0
16,17.0,105.0,17.0,18.0,2023-01-07,TEN,@,JAX,"L, 16-20",,4,4,38,9.5,0,100.0,9.5,0,0,0,,0.0,0,0,0,0,0,0,34,45.3,0,0.0,0,0.0
17,,,,,,,,,7-10,,60,41,444,10.8,2,68.3,7.4,1,0,0,0.0,0.0,1,1,0,0,0,0,525,50.7,0,0.0,9,2.0
