,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2016,22,ATL,NFL,TE,14.0,3.0,27.0,19.0,271.0,14.3,3.0,16.0,59.3,44.0,1.4,19.4,70.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.3,271.0,3.0,0.0,3.0,
1,2017,23,ATL,NFL,TE,16.0,8.0,65.0,49.0,526.0,10.7,3.0,18.0,49.2,88.0,3.1,32.9,75.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,49.0,10.7,526.0,3.0,0.0,5.0,
2,2018,24,ATL,NFL,TE,16.0,7.0,88.0,71.0,660.0,9.3,4.0,30.0,59.1,36.0,4.4,41.3,80.7,7.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,9.3,660.0,4.0,0.0,6.0,PB
3,2019,25,ATL,NFL,TE,13.0,10.0,97.0,75.0,787.0,10.5,6.0,41.0,61.9,35.0,5.8,60.5,77.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,75.0,10.5,787.0,6.0,0.0,6.0,PB
4,2020,26,CLE,NFL,TE,13.0,13.0,70.0,46.0,435.0,9.5,4.0,27.0,51.4,36.0,3.5,33.5,65.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.5,435.0,4.0,0.0,4.0,
5,2021,27,CLE,NFL,TE,16.0,16.0,61.0,38.0,345.0,9.1,3.0,18.0,55.7,34.0,2.4,21.6,62.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9.1,345.0,3.0,0.0,3.0,
6,2022,28,TEN,NFL,TE,17.0,2.0,60.0,41.0,444.0,10.8,2.0,28.0,60.0,24.0,2.4,26.1,68.3,7.4,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.8,444.0,2.0,0.0,4.0,
7,2023,29,LVR,NFL,TE,17.0,9.0,31.0,25.0,234.0,9.4,0.0,12.0,61.3,21.0,1.5,13.8,80.6,7.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.4,234.0,0.0,0.0,2.0,
8,2024,30,NWE,NFL,TE,17.0,8.0,59.0,45.0,476.0,10.6,3.0,25.0,62.7,38.0,2.6,28.0,76.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.6,476.0,3.0,2.0,4.0,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,139.0,76.0,558.0,409.0,4178.0,10.2,28.0,215.0,57.7,88.0,2.9,30.1,73.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,409.0,10.2,4178.0,28.0,2.0,37.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,9.0,68.0,50.0,511.0,10.2,3.0,26.0,57.7,88.0,2.9,30.1,73.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.2,511.0,3.0,0.0,5.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),,59.0,28.0,277.0,214.0,2244.0,10.5,16.0,105.0,57.8,88.0,3.6,38.0,77.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,214.0,10.5,2244.0,16.0,0.0,20.0,
13,CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,29.0,29.0,131.0,84.0,780.0,9.3,7.0,45.0,53.4,36.0,2.9,26.9,64.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,9.3,780.0,7.0,0.0,7.0,
14,NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),,17.0,8.0,59.0,45.0,476.0,10.6,3.0,25.0,62.7,38.0,2.6,28.0,76.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,10.6,476.0,3.0,2.0,4.0,
15,TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),,17.0,2.0,60.0,41.0,444.0,10.8,2.0,28.0,60.0,24.0,2.4,26.1,68.3,7.4,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.8,444.0,2.0,0.0,4.0,
16,LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),,17.0,9.0,31.0,25.0,234.0,9.4,0.0,12.0,61.3,21.0,1.5,13.8,80.6,7.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.4,234.0,0.0,0.0,2.0,
