,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,MIN,,GNB,"W, 23-7",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2022-09-19,MIN,@,PHI,"L, 7-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2022-09-25,MIN,,DET,"W, 28-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,1.0,4.0,4.0,2022-10-02,MIN,@,NOR,"W, 28-25",,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,19,61.3
4,2.0,2.0,5.0,5.0,2022-10-09,MIN,,CHI,"W, 29-22",,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,9,39.1
5,2.0,,6.0,6.0,2022-10-16,MIN,@,MIA,"W, 24-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2.0,,7.0,8.0,2022-10-30,MIN,,ARI,"W, 34-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2.0,,8.0,9.0,2022-11-06,MIN,@,WAS,"W, 20-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2.0,,9.0,10.0,2022-11-13,MIN,@,BUF,"W, 33-30 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2.0,,10.0,11.0,2022-11-20,MIN,,DAL,"L, 3-40",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2.0,,11.0,12.0,2022-11-24,MIN,,NWE,"W, 33-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2.0,,12.0,13.0,2022-12-04,MIN,,NYJ,"W, 27-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2.0,,13.0,14.0,2022-12-11,MIN,@,DET,"L, 23-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2.0,,14.0,15.0,2022-12-17,MIN,,IND,"W, 39-36 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2.0,,15.0,16.0,2022-12-24,MIN,,NYG,"W, 27-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2.0,,16.0,17.0,2023-01-01,MIN,@,GNB,"L, 17-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,3.0,3.0,17.0,18.0,2023-01-08,MIN,@,CHI,"W, 29-13",,6,20,0,3.3,0.0,1,0,1,0,0,0,12,16.9,0,0.0,11,47.8
17,,,,,,,,,3-0,,6,20,0,3.3,0.0,2,0,2,0,0,0,12,5.4,0,0.0,39,50.6
