,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Ret,Yds,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,38.0,1.0,1.0,2025-09-08,MIN,@,CHI,"W, 27-24",,3,84,0,28.0,0,0.0,0,0.0,13,40.6
1,,,,,,,,,1-0,,3,84,0,28.0,0,0.0,0,0.0,13,40.6
