,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,21.0,1.0,1.0,2024-09-08,MIN,@,NYG,"W, 28-6",,8,17,0,2.1,3,3,25,8.3,0,100.0,8.3,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,19,34.5,0,0.0,3,12.5
1,2.0,22.0,2.0,2.0,2024-09-15,MIN,,SFO,"W, 23-17",,10,82,0,8.2,0,0,0,,0,,,0,0,0,0,0,1,1,0,0,0,,0.0,0,0,0,0,0,0,19,35.2,0,0.0,3,13.0
2,3.0,23.0,3.0,3.0,2024-09-22,MIN,,HOU,"W, 34-7",,7,13,0,1.9,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,22,34.9,0,0.0,3,11.5
3,4.0,24.0,4.0,4.0,2024-09-29,MIN,@,GNB,"W, 31-29",,3,5,0,1.7,1,1,8,8.0,0,100.0,8.0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,8,11.8,0,0.0,9,31.0
4,5.0,25.0,5.0,5.0,2024-10-06,MIN,,NYJ,"W, 23-17",,14,30,0,2.1,2,2,9,4.5,0,100.0,4.5,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,46,63.0,0,0.0,4,13.8
5,6.0,26.0,6.0,7.0,2024-10-20,MIN,,DET,"L, 29-31",,2,4,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,11,18.3,0,0.0,6,19.4
6,7.0,27.0,7.0,8.0,2024-10-24,MIN,@,LAR,"L, 20-30",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,2,4.0,0,0.0,8,32.0
7,8.0,28.0,8.0,9.0,2024-11-03,MIN,,IND,"W, 21-13",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,7,31.8
8,9.0,29.0,9.0,10.0,2024-11-10,MIN,@,JAX,"W, 12-7",,4,18,0,4.5,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,12,14.3,0,0.0,8,42.1
9,10.0,30.0,10.0,11.0,2024-11-17,MIN,@,TEN,"W, 23-13",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,1,35,0,35.0,0.0,1,1,0,0,0,0,1,1.4,0,0.0,13,50.0
10,11.0,31.0,11.0,12.0,2024-11-24,MIN,@,CHI,"W, 30-27 (OT)",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,2,50,0,25.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,17,54.8
11,12.0,32.0,12.0,13.0,2024-12-01,MIN,,ARI,"W, 23-22",,2,2,0,1.0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0.0,1,0,1,0,0,0,5,9.4,0,0.0,14,50.0
12,13.0,33.0,13.0,14.0,2024-12-08,MIN,,ATL,"W, 42-21",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,1,22,0,22.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,8,29.6
13,14.0,34.0,14.0,15.0,2024-12-16,MIN,,CHI,"W, 30-12",,1,4,0,4.0,0,0,0,,0,,,0,0,0,0,0,0,0,1,30,0,30.0,0.0,1,1,0,0,0,0,1,1.3,0,0.0,8,29.6
14,15.0,35.0,15.0,16.0,2024-12-22,MIN,@,SEA,"W, 27-24",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,1,20,0,20.0,0.0,1,1,0,0,0,0,0,0.0,0,0.0,12,36.4
15,16.0,36.0,16.0,17.0,2024-12-29,MIN,,GNB,"W, 27-25",,5,7,0,1.4,0,0,0,,0,,,0,0,0,0,0,0,0,2,48,0,24.0,0.0,0,0,0,0,0,0,7,9.7,0,0.0,14,51.9
16,17.0,37.0,17.0,18.0,2025-01-05,MIN,@,DET,"L, 9-31",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,9,39.1
17,,,,,,,,,14-3,,56,182,0,3.3,6,6,42,7.0,0,100.0,7.0,0,0,0,0,0,1,1,8,205,0,25.6,0.0,4,3,1,0,0,0,153,13.7,0,0.0,146,32.4
