,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2019-09-08,BAL,@,MIA,"W, 59-10",,7,27,0,3.9,0,0,0,,0,,,1,9,0,9.0,22,28.9,0,0.0,7,21.9
1,2.0,2.0,2.0,2.0,2019-09-15,BAL,,ARI,"W, 23-17",,1,4,0,4.0,2,1,10,10.0,0,50.0,5.0,2,46,0,23.0,15,19.5,0,0.0,5,18.5
2,3.0,3.0,3.0,3.0,2019-09-22,BAL,@,KAN,"L, 28-33",,1,1,0,1.0,3,0,0,,0,0.0,0.0,2,47,0,23.5,10,12.2,0,0.0,7,25.9
3,4.0,4.0,4.0,4.0,2019-09-29,BAL,,CLE,"L, 25-40",,2,8,0,4.0,2,2,9,4.5,0,100.0,4.5,2,34,0,17.0,16,23.2,0,0.0,3,10.7
4,5.0,5.0,5.0,5.0,2019-10-06,BAL,@,PIT,"W, 26-23 (OT)",,2,7,0,3.5,0,0,0,,0,,,1,46,0,46.0,5,6.3,0,0.0,6,20.0
5,6.0,6.0,6.0,6.0,2019-10-13,BAL,,CIN,"W, 23-17",,5,31,0,6.2,0,0,0,,0,,,0,0,0,,15,19.0,0,0.0,5,20.0
6,7.0,7.0,7.0,7.0,2019-10-20,BAL,@,SEA,"W, 30-16",,0,0,0,,0,0,0,,0,,,2,21,0,10.5,4,6.9,0,0.0,4,13.8
7,8.0,8.0,8.0,9.0,2019-11-03,BAL,,NWE,"W, 37-20",,3,7,0,2.3,1,0,0,,0,0.0,0.0,2,24,0,12.0,10,14.9,0,0.0,5,17.2
8,9.0,9.0,9.0,10.0,2019-11-10,BAL,@,CIN,"W, 49-13",,3,11,0,3.7,0,0,0,,0,,,0,0,0,,12,26.1,0,0.0,4,16.7
9,10.0,10.0,10.0,11.0,2019-11-17,BAL,,HOU,"W, 41-7",,5,18,0,3.6,1,1,9,9.0,0,100.0,9.0,0,0,0,,8,11.9,0,0.0,3,12.5
10,11.0,11.0,11.0,12.0,2019-11-25,BAL,@,LAR,"W, 45-6",,8,27,0,3.4,0,0,0,,0,,,0,0,0,,18,23.4,0,0.0,5,19.2
11,12.0,12.0,12.0,13.0,2019-12-01,BAL,,SFO,"W, 20-17",,1,3,0,3.0,0,0,0,,0,,,0,0,0,,4,6.2,0,0.0,6,30.0
12,13.0,13.0,13.0,14.0,2019-12-08,BAL,@,BUF,"W, 24-17",,3,8,0,2.7,0,0,0,,0,,,0,0,0,,6,10.0,0,0.0,16,51.6
13,14.0,14.0,14.0,15.0,2019-12-12,BAL,,NYJ,"W, 42-21",,4,15,0,3.8,0,0,0,,0,,,0,0,0,,10,16.1,0,0.0,8,28.6
14,15.0,15.0,15.0,16.0,2019-12-22,BAL,@,CLE,"W, 31-15",,3,19,1,6.3,4,3,32,10.7,0,75.0,8.0,0,0,0,,13,17.8,0,0.0,6,25.0
15,16.0,16.0,16.0,17.0,2019-12-29,BAL,,PIT,"W, 28-10",,10,39,1,3.9,2,1,10,10.0,0,50.0,5.0,0,0,0,,19,27.9,0,0.0,5,17.2
16,,,,,,,,,14-2,,58,225,2,3.9,15,8,70,8.8,0,53.3,4.7,12,227,0,18.9,187,16.9,0,0.0,95,21.9
