,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2020-09-13,BAL,,CLE,"W, 38-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2020-09-20,BAL,@,HOU,"W, 33-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2020-09-28,BAL,,KAN,"L, 20-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,17.0,4.0,4.0,2020-10-04,BAL,@,WAS,"W, 31-17",,0,0,0,,0,0,0,,0,,,0.0,1,1,0,0,0,0,0,0.0,0,0.0,15,55.6
4,1.0,,5.0,5.0,2020-10-11,BAL,,CIN,"W, 27-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2.0,18.0,6.0,6.0,2020-10-18,BAL,@,PHI,"W, 30-28",,0,0,0,,0,0,0,,0,,,0.0,1,1,0,0,0,0,0,0.0,0,0.0,25,78.1
6,3.0,19.0,7.0,8.0,2020-11-01,BAL,,PIT,"L, 24-28",,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,2,2.4,0,0.0,17,65.4
7,4.0,20.0,8.0,9.0,2020-11-08,BAL,@,IND,"W, 24-10",,0,0,0,,0,0,0,,0,,,0.0,3,0,3,0,0,0,3,4.7,0,0.0,17,70.8
8,5.0,21.0,9.0,10.0,2020-11-15,BAL,@,NWE,"L, 17-23",,0,0,0,,1,1,3,3.0,0,100.0,3.0,0.0,0,0,0,0,0,0,5,7.6,0,0.0,15,65.2
9,6.0,22.0,10.0,11.0,2020-11-22,BAL,,TEN,"L, 24-30 (OT)",,0,0,0,,0,0,0,,0,,,0.0,2,2,0,0,0,0,7,10.8,0,0.0,19,70.4
10,7.0,23.0,11.0,12.0,2020-12-02,BAL,@,PIT,"L, 14-19",,9,35,0,3.9,2,2,5,2.5,0,100.0,2.5,0.0,0,0,0,0,0,0,26,49.1,0,0.0,6,24.0
11,8.0,24.0,12.0,13.0,2020-12-08,BAL,,DAL,"W, 34-17",,0,0,0,,1,1,4,4.0,0,100.0,4.0,0.0,1,1,0,0,0,0,6,10.9,0,0.0,13,46.4
12,9.0,25.0,13.0,14.0,2020-12-14,BAL,@,CLE,"W, 47-42",,1,4,0,4.0,0,0,0,,0,,,0.0,1,1,0,0,0,0,6,10.0,0,0.0,21,63.6
13,10.0,26.0,14.0,15.0,2020-12-20,BAL,,JAX,"W, 40-14",,0,0,0,,1,1,8,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,6,9.1,0,0.0,13,56.5
14,11.0,27.0,15.0,16.0,2020-12-27,BAL,,NYG,"W, 27-13",,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,3,4.4,0,0.0,14,58.3
15,12.0,28.0,16.0,17.0,2021-01-03,BAL,@,CIN,"W, 38-3",,2,21,0,10.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,9,12.2,0,0.0,17,68.0
16,,,,,,,,,8-4,,12,60,0,5.0,5,5,20,4.0,0,100.0,4.0,0.0,9,6,3,0,0,0,73,9.3,0,0.0,192,60.6
