,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt.1,PassYds.1,Awards
0,2023,25,LVR,NFL,QB,11,10,213,343,2567,7.5,1155,5.4,3.4,1063,5.0,7,19,1,15,4.6,56,17.3,235,72.8,2.4,101,7,22,53,14.4,0,,13,119,13,119,0,0,73,544,
1,2024,26,LVR,NFL,QB,9,7,154,243,1915,7.9,881,5.7,3.6,731,4.7,5,9,1,6,2.6,49,21.0,166,71.2,2.4,50,27,19,56,21.9,3,8.7,20,183,19,174,1,9,46,305,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,20,17,367,586,4482,7.6,2036,5.5,3.5,1794,4.9,12,28,2,21,3.8,105,18.9,401,72.1,2.4,151,34,41,109,17.5,3,8.7,33,302,32,293,1,9,119,849,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,312,498,3810,7.6,1731,5.5,3.5,1525,4.9,10,24,2,18,3.8,89,18.9,341,72.1,2.4,128,29,35,93,17.5,3,8.7,28,257,27,249,1,8,101,722,
