,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2019-09-08,TEN,@,CLE,"W, 43-13",*,1,1,7,7.0,0,100.0,7.0,1,10,0,10.0,0,0,0,,37,62.7,0,0.0,0,0.0
1,2.0,31.0,2.0,2.0,2019-09-15,TEN,,IND,"L, 17-19",*,0,0,0,,0,,,0,0,0,,0,0,0,,29,49.2,0,0.0,4,15.4
2,3.0,32.0,3.0,3.0,2019-09-19,TEN,@,JAX,"L, 7-20",*,3,2,20,10.0,0,66.7,6.7,0,0,0,,0,0,0,,40,50.6,0,0.0,5,18.5
3,4.0,33.0,4.0,4.0,2019-09-29,TEN,@,ATL,"W, 24-10",*,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,42,67.7,0,0.0,3,13.0
4,5.0,34.0,5.0,5.0,2019-10-06,TEN,,BUF,"L, 7-14",*,2,1,57,57.0,0,50.0,28.5,0,0,0,,0,0,0,,35,61.4,0,0.0,3,12.5
5,6.0,35.0,6.0,6.0,2019-10-13,TEN,@,DEN,"L, 0-16",,1,1,8,8.0,0,100.0,8.0,0,0,0,,1,16,0,16.0,28,42.4,0,0.0,5,18.5
6,7.0,36.0,7.0,7.0,2019-10-20,TEN,,LAC,"W, 23-20",*,3,3,64,21.3,0,100.0,21.3,0,0,0,,0,0,0,,51,82.3,0,0.0,5,21.7
7,8.0,37.0,8.0,8.0,2019-10-27,TEN,,TAM,"W, 27-23",*,7,6,78,13.0,1,85.7,11.1,0,0,0,,0,0,0,,43,72.9,0,0.0,6,20.7
8,9.0,38.0,9.0,9.0,2019-11-03,TEN,@,CAR,"L, 20-30",*,5,3,18,6.0,0,60.0,3.6,0,0,0,,0,0,0,,52,72.2,0,0.0,5,17.2
9,10.0,39.0,10.0,10.0,2019-11-10,TEN,,KAN,"W, 35-32",*,6,4,30,7.5,0,66.7,5.0,0,0,0,,0,0,0,,39,78.0,0,0.0,8,25.0
10,11.0,40.0,11.0,12.0,2019-11-24,TEN,,JAX,"W, 42-20",*,0,0,0,,0,,,1,4,0,4.0,0,0,0,,50,94.3,0,0.0,4,13.8
11,12.0,41.0,12.0,13.0,2019-12-01,TEN,@,IND,"W, 31-17",*,2,2,0,0.0,0,100.0,0.0,0,0,0,,0,0,0,,51,86.4,0,0.0,5,17.2
12,13.0,42.0,13.0,14.0,2019-12-08,TEN,@,OAK,"W, 42-21",*,4,3,29,9.7,1,75.0,7.3,0,0,0,,0,0,0,,48,78.7,0,0.0,4,14.3
13,14.0,43.0,14.0,15.0,2019-12-15,TEN,,HOU,"L, 21-24",*,5,5,60,12.0,0,100.0,12.0,1,57,0,57.0,0,0,0,,55,80.9,0,0.0,5,20.0
14,15.0,44.0,15.0,16.0,2019-12-22,TEN,,NOR,"L, 28-38",,4,3,63,21.0,1,75.0,15.8,0,0,0,,0,0,0,,51,82.3,0,0.0,0,0.0
15,16.0,45.0,16.0,17.0,2019-12-29,TEN,@,HOU,"W, 35-14",*,0,0,0,,0,,,1,7,0,7.0,0,0,0,,50,80.6,0,0.0,3,12.0
16,,,,,,,,,9-7,,44,35,439,12.5,3,79.5,10.0,4,78,0,19.5,1,16,0,16.0,701,70.8,0,0.0,65,14.7
