,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,77.0,1.0,1.0,2022-09-11,NWE,@,MIA,"L, 7-20",*,4,3,33,11.0,0,75.0,8.3,0,0,0,,0,0,0,,0,0,0,0,0,0,39,68.4,0,0.0,4,21.1
1,2.0,78.0,2.0,2.0,2022-09-18,NWE,@,PIT,"W, 17-14",,3,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,39,57.4,0,0.0,4,18.2
2,3.0,79.0,3.0,3.0,2022-09-25,NWE,,BAL,"L, 26-37",,4,4,25,6.3,0,100.0,6.3,0,0,0,,0,0,0,,0,0,0,0,0,0,32,48.5,0,0.0,7,25.9
3,4.0,80.0,4.0,4.0,2022-10-02,NWE,@,GNB,"L, 24-27 (OT)",*,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,17,29.3,0,0.0,2,6.3
4,4.0,,5.0,5.0,2022-10-09,NWE,,DET,"W, 29-0",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,81.0,6.0,6.0,2022-10-16,NWE,@,CLE,"W, 38-15",*,2,2,61,30.5,0,100.0,30.5,0,0,0,,0,0,0,,0,0,0,0,0,0,30,42.9,0,0.0,2,6.9
6,6.0,82.0,7.0,7.0,2022-10-24,NWE,,CHI,"L, 14-33",,3,1,4,4.0,0,33.3,1.3,0,0,0,,0,0,0,,0,0,0,0,0,0,17,32.7,0,0.0,7,28.0
7,7.0,83.0,8.0,8.0,2022-10-30,NWE,@,NYJ,"W, 22-17",*,4,3,10,3.3,0,75.0,2.5,0,0,0,,1,16,0,16.0,0,0,0,0,0,0,50,64.1,0,0.0,4,14.3
8,8.0,84.0,9.0,9.0,2022-11-06,NWE,,IND,"W, 26-3",,3,3,21,7.0,0,100.0,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,34,54.0,0,0.0,2,6.1
9,9.0,85.0,10.0,11.0,2022-11-20,NWE,,NYJ,"W, 10-3",*,4,4,40,10.0,0,100.0,10.0,1,5,0,5.0,1,15,0,15.0,1,0,0,1,0,0,34,54.0,0,0.0,2,6.7
10,10.0,86.0,11.0,12.0,2022-11-24,NWE,@,MIN,"L, 26-33",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,16,29.1,0,0.0,7,21.2
11,11.0,87.0,12.0,13.0,2022-12-01,NWE,,BUF,"L, 10-24",,2,2,6,3.0,0,100.0,3.0,0,0,0,,0,0,0,,0,0,0,0,0,0,17,31.5,0,0.0,5,20.8
12,12.0,88.0,13.0,14.0,2022-12-12,NWE,@,ARI,"W, 27-13",*,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,28,47.5,0,0.0,4,15.4
13,13.0,89.0,14.0,15.0,2022-12-18,NWE,@,LVR,"L, 24-30",*,3,2,24,12.0,0,66.7,8.0,0,0,0,,0,0,0,,0,0,0,0,0,0,38,58.5,0,0.0,0,0.0
14,14.0,90.0,15.0,16.0,2022-12-24,NWE,,CIN,"L, 18-22",*,4,3,21,7.0,0,75.0,5.3,0,0,0,,0,0,0,,0,0,0,0,0,0,32,57.1,0,0.0,4,16.0
15,14.0,,16.0,17.0,2023-01-01,NWE,,MIA,"W, 23-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,14.0,,17.0,18.0,2023-01-08,NWE,@,BUF,"L, 23-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,6-8,,38,27,245,9.1,0,71.1,6.4,1,5,0,5.0,2,31,0,15.5,1,0,0,1,0,0,423,49.0,0,0.0,54,14.0
