,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,59.0,1.0,1.0,2022-09-11,BAL,@,NYJ,"W, 24-9",*,17,30,56.7,213,3,1,7.1,7.60,98.3,2,2,6,17,0,2.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
1,2.0,60.0,2.0,2.0,2022-09-18,BAL,,MIA,"L, 38-42",*,21,29,72.4,318,3,0,11.0,13.03,142.6,0,0,9,119,1,13.2,0.0,0,0,0,0,0,0,1,0,0,0,-5,0,59,100.0,0,0.0,0,0.0
2,3.0,61.0,3.0,3.0,2022-09-25,BAL,@,NWE,"W, 37-26",*,18,29,62.1,218,4,1,7.5,8.72,110.3,4,12,11,107,1,9.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
3,4.0,62.0,4.0,4.0,2022-10-02,BAL,,BUF,"L, 20-23",*,20,29,69.0,144,1,2,5.0,2.55,63.0,2,10,11,73,0,6.6,0.0,1,1,0,0,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
4,5.0,63.0,5.0,5.0,2022-10-09,BAL,,CIN,"W, 19-17",*,19,32,59.4,174,1,1,5.4,4.66,71.6,1,4,12,58,0,4.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
5,6.0,64.0,6.0,6.0,2022-10-16,BAL,@,NYG,"L, 20-24",*,17,32,53.1,210,1,1,6.6,5.78,71.1,2,15,7,77,0,11.0,0.0,0,0,0,0,0,0,2,1,0,1,0,0,59,100.0,0,0.0,0,0.0
6,7.0,65.0,7.0,7.0,2022-10-23,BAL,,CLE,"W, 23-20",*,9,16,56.3,120,0,0,7.5,7.50,80.2,3,26,10,59,0,5.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
7,8.0,66.0,8.0,8.0,2022-10-27,BAL,@,TAM,"W, 27-22",*,27,38,71.1,238,2,0,6.3,7.32,104.9,3,16,9,43,0,4.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
8,9.0,67.0,9.0,9.0,2022-11-07,BAL,@,NOR,"W, 27-13",*,12,22,54.5,133,1,0,6.0,6.95,87.9,3,2,11,82,0,7.5,0.0,0,0,0,0,0,0,1,0,0,1,0,0,68,100.0,0,0.0,0,0.0
9,10.0,68.0,10.0,11.0,2022-11-20,BAL,,CAR,"W, 13-3",*,24,33,72.7,209,0,1,6.3,4.97,76.5,3,16,11,31,1,2.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
