,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,BAL,,BUF,"W, 47-3",,1,4,25.0,24,0,0,6.0,6.0,52.1,1,8,7,39,0,5.6,0,0,0,0,,,1,0,0,1,-1,0,30,37.5,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2018-09-13,BAL,@,CIN,"L, 23-34",,0,0,,0,0,0,,,,0,0,2,6,0,3.0,0,0,0,0,,,0,0,0,0,0,0,6,7.1,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2018-09-23,BAL,,DEN,"W, 27-14",,0,0,,0,0,0,,,,0,0,0,0,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,2,2.8,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2018-09-30,BAL,@,PIT,"W, 26-14",,0,0,,0,0,0,,,,0,0,4,17,0,4.3,0,0,0,0,,,0,0,0,0,0,0,9,11.8,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2018-10-07,BAL,@,CLE,"L, 9-12 (OT)",,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,3,10,0,3.3,0,0,0,0,,,0,0,0,0,0,0,5,5.7,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2018-10-14,BAL,@,TEN,"W, 21-0",,0,0,,0,0,0,,,,0,0,1,22,0,22.0,0,0,0,0,,,0,0,0,0,0,0,2,2.6,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2018-10-21,BAL,,NOR,"L, 23-24",,1,1,100.0,5,0,0,5.0,5.0,87.5,0,0,3,9,1,3.0,0,0,0,0,,,0,0,0,0,0,0,5,7.4,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2018-10-28,BAL,@,CAR,"L, 21-36",,4,5,80.0,46,1,0,9.2,13.2,144.6,0,0,3,26,0,8.7,0,0,0,0,,,0,0,0,0,0,0,14,20.6,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2018-11-04,BAL,,PIT,"L, 16-23",,1,1,100.0,12,0,0,12.0,12.0,116.7,0,0,5,10,0,2.0,1,0,0,0,0.0,0.0,1,0,0,0,-3,0,13,21.3,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2018-11-18,BAL,,CIN,"W, 24-21",*,13,19,68.4,150,0,1,7.9,5.53,70.1,3,14,26,119,0,4.6,0,0,0,0,,,1,0,0,1,-3,0,79,100.0,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2018-11-25,BAL,,OAK,"W, 34-17",*,14,25,56.0,178,1,2,7.1,4.32,58.4,1,4,11,71,1,6.5,0,0,0,0,,,1,0,0,1,-2,0,70,100.0,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2018-12-02,BAL,@,ATL,"W, 26-16",*,12,21,57.1,125,0,0,6.0,5.95,74.5,2,8,17,75,1,4.4,0,0,0,0,,,3,1,0,1,0,0,66,81.5,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2018-12-09,BAL,@,KAN,"L, 24-27 (OT)",*,13,24,54.2,147,2,0,6.1,7.79,100.5,2,20,14,67,0,4.8,0,0,0,0,,,1,1,0,0,0,0,69,97.2,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2018-12-16,BAL,,TAM,"W, 20-12",*,14,23,60.9,131,1,0,5.7,6.57,91.0,2,3,18,95,0,5.3,0,0,0,0,,,1,1,0,0,-6,0,76,100.0,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2018-12-22,BAL,@,LAC,"W, 22-10",*,12,22,54.5,204,1,0,9.3,10.18,101.3,3,2,13,39,0,3.0,0,0,0,0,,,1,0,0,1,0,0,62,100.0,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2018-12-30,BAL,,CLE,"W, 26-24",*,14,24,58.3,179,0,0,7.5,7.46,81.8,2,12,20,90,2,4.5,0,0,0,0,,,2,1,0,0,-6,0,77,100.0,0,0.0,0,0.0
16,,,,,,,,,10-6,,99,170,58.2,1201,6,3,7.1,6.98,84.5,16,71,147,695,5,4.7,2,0,0,0,0.0,0.0,12,4,0,5,-21,0,585,49.2,0,0.0,0,0.0
