,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,71.0,1.0,1.0,2023-09-10,BAL,,HOU,"W, 25-9",*,17,22,77.3,169,0,1,7.7,5.64,79.5,4,14,6,38,0,6.3,0,0,0,0,2,1,0,0,0,0,64,100.0,0,0.0,0,0.0
1,2.0,72.0,2.0,2.0,2023-09-17,BAL,@,CIN,"W, 27-24",*,24,33,72.7,237,2,0,7.2,8.39,112.8,0,0,12,54,0,4.5,0,0,0,0,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
2,3.0,73.0,3.0,3.0,2023-09-24,BAL,,IND,"L, 19-22 (OT)",*,22,31,71.0,202,0,0,6.5,6.52,88.4,4,24,14,101,2,7.2,0,0,0,0,2,1,0,2,0,0,72,100.0,0,0.0,0,0.0
3,4.0,74.0,4.0,4.0,2023-10-01,BAL,@,CLE,"W, 28-3",*,15,19,78.9,186,2,0,9.8,11.89,142.5,3,21,9,27,2,3.0,0,0,0,0,2,1,0,1,-3,0,55,94.8,0,0.0,0,0.0
4,5.0,75.0,5.0,5.0,2023-10-08,BAL,@,PIT,"L, 10-17",*,22,38,57.9,236,0,1,6.2,5.03,65.2,4,26,6,45,0,7.5,0,0,0,0,1,1,0,0,0,0,70,100.0,0,0.0,0,0.0
5,6.0,76.0,6.0,6.0,2023-10-15,BAL,@,TEN,"W, 24-16",*,21,30,70.0,223,1,1,7.4,6.60,88.6,1,2,13,62,0,4.8,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
6,7.0,77.0,7.0,7.0,2023-10-22,BAL,,DET,"W, 38-6",*,21,27,77.8,357,3,0,13.2,15.44,155.8,0,0,9,36,1,4.0,0,0,0,0,1,1,0,0,-4,0,57,95.0,0,0.0,0,0.0
7,8.0,78.0,8.0,8.0,2023-10-29,BAL,@,ARI,"W, 31-24",*,18,27,66.7,157,1,0,5.8,6.56,94.2,4,19,5,17,0,3.4,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
8,9.0,79.0,9.0,9.0,2023-11-05,BAL,,SEA,"W, 37-3",*,21,26,80.8,187,0,0,7.2,7.19,96.6,1,8,10,60,0,6.0,0,0,0,0,2,1,0,1,0,0,57,75.0,0,0.0,0,0.0
9,10.0,80.0,10.0,10.0,2023-11-12,BAL,,CLE,"L, 31-33",*,13,23,56.5,223,1,2,9.7,6.65,67.8,3,23,8,41,0,5.1,0,0,0,0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
10,11.0,81.0,11.0,11.0,2023-11-16,BAL,,CIN,"W, 34-20",*,16,26,61.5,264,2,0,10.2,11.69,121.3,3,16,9,54,0,6.0,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
11,12.0,82.0,12.0,12.0,2023-11-26,BAL,@,LAC,"W, 20-10",*,18,32,56.3,177,1,0,5.5,6.16,82.4,2,13,11,39,0,3.5,0,0,0,0,1,0,0,0,0,0,71,100.0,0,0.0,0,0.0
12,13.0,83.0,13.0,14.0,2023-12-10,BAL,,LAR,"W, 37-31 (OT)",*,24,43,55.8,316,3,1,7.3,7.70,92.8,2,6,11,70,0,6.4,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
13,14.0,84.0,14.0,15.0,2023-12-17,BAL,@,JAX,"W, 23-7",*,14,24,58.3,171,1,1,7.1,6.08,76.9,3,26,12,97,0,8.1,0,0,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
14,15.0,85.0,15.0,16.0,2023-12-25,BAL,@,SFO,"W, 33-19",*,23,35,65.7,252,2,0,7.2,8.34,105.9,2,11,7,45,0,6.4,0,0,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
15,16.0,86.0,16.0,17.0,2023-12-31,BAL,,MIA,"W, 56-19",*,18,21,85.7,321,5,0,15.3,20.05,158.3,1,9,6,35,0,5.8,0,0,0,0,0,0,0,0,0,0,53,93.0,0,0.0,0,0.0
16,16.0,,17.0,18.0,2024-01-06,BAL,,PIT,"L, 10-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,13-3,,307,457,67.2,3678,24,7,8.0,8.41,102.7,37,218,148,821,5,5.5,0,0,0,0,11,6,0,4,-7,0,1040,97.3,0,0.0,0,0.0
