,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2023,24,GNB,NFL,RB,7,0,14,85,0,2,64.3,31,6.1,12.1,2.0,5,4,23,5.8,0,1,80.0,9,0.6,3.3,80.0,4.6,18,6.0,108,0,1,1,
1,2024,25,GNB,NFL,RB,17,0,103,502,4,27,59.2,21,4.9,29.5,6.1,14,11,48,4.4,1,3,21.4,30,0.6,2.8,78.6,3.4,114,4.8,550,5,0,4,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,24,0,117,587,4,29,59.8,31,5.0,24.5,4.9,19,15,71,4.7,1,4,36.8,30,0.6,3.0,78.9,3.7,132,5.0,658,5,1,5,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,0,83,416,3,21,59.8,31,5.0,24.5,4.9,13,11,50,4.7,1,3,36.8,30,0.6,3.0,78.9,3.7,94,3.5,466,4,1,4,
